Learning Rate,0.1,0.01,0.001,
Number of units per hidden layer,2,3,4,
Number of hidden layers,50,70,90,110,
Number of iterations,500,1000,1500,
Regularisation,100,
Loss function,isSum,False,
,isAbsolute,False,
,isPercent,False,
,
,
Learning Rate,Number of hidden layers,Number of units per hidden layer,Number of iterations,e1,e2,e3,e4,e5,e6,
0.1,2.0,50.0,500.0,1.2648022174835205,0.7415359616279602,1.1877368688583374,1.4025362730026245,2.066317558288574,1.9056161642074585,
0.1,2.0,50.0,1000.0,1.120772361755371,0.3470439314842224,0.618163526058197,0.6761626601219177,1.2866610288619995,0.9182203412055969,
0.1,2.0,50.0,1500.0,0.6428210139274597,0.3155776858329773,0.4898937940597534,0.34553179144859314,1.398797631263733,0.6429808139801025,
0.1,2.0,70.0,500.0,2.7399160861968994,2.5380606651306152,1.5520583391189575,2.135876417160034,4.387110710144043,1.1600496768951416,
0.1,2.0,70.0,1000.0,0.7081282138824463,0.758203387260437,1.3338040113449097,1.5419316291809082,3.335236072540283,1.814788579940796,
0.1,2.0,70.0,1500.0,0.5523563027381897,0.37415045499801636,0.6497116088867188,0.8977757096290588,2.6537301540374756,1.3236539363861084,
0.1,2.0,90.0,500.0,3.4426729679107666,2.7929046154022217,3.6389756202697754,3.944091558456421,2.527068853378296,3.1576249599456787,
0.1,2.0,90.0,1000.0,1.3125536441802979,1.2683615684509277,1.937199592590332,1.1877295970916748,2.494720697402954,1.6003450155258179,
0.1,2.0,90.0,1500.0,0.6371043920516968,0.3631134033203125,0.47553232312202454,0.7003264427185059,0.7396807074546814,0.40751901268959045,
0.1,2.0,110.0,500.0,1.0820250511169434,1.4848018884658813,1.3526287078857422,5.188539028167725,12.184849739074707,4.0019850730896,
0.1,2.0,110.0,1000.0,0.46343299746513367,0.8266988396644592,1.4579708576202393,1.7640389204025269,3.453977346420288,1.7917468547821045,
0.1,2.0,110.0,1500.0,0.34195345640182495,0.6193273067474365,0.8637295961380005,1.3592979907989502,3.087265729904175,1.1358039379119873,
0.1,3.0,50.0,500.0,1.780653715133667,2.3449628353118896,3.87526798248291,3.185551643371582,6.505373001098633,2.6957550048828125,
0.1,3.0,50.0,1000.0,1.1188464164733887,0.8127447366714478,1.439508318901062,2.675089120864868,1.6822543144226074,0.9156566262245178,
0.1,3.0,50.0,1500.0,1.4063385725021362,1.4245796203613281,1.7776188850402832,3.6895885467529297,3.724647283554077,1.5818005800247192,
0.1,3.0,70.0,500.0,7.277459144592285,12.50180435180664,18.301570892333984,9.85059928894043,22.192964553833008,17.95757484436035,
0.1,3.0,70.0,1000.0,6.60549783706665,6.771452903747559,7.720508575439453,2.9541990756988525,4.521185398101807,5.3011274337768555,
0.1,3.0,70.0,1500.0,4.126939296722412,4.326516628265381,5.366919040679932,3.612483263015747,3.7742323875427246,2.626309394836426,
0.1,3.0,90.0,500.0,13.361233711242676,15.055246353149414,25.25868034362793,37.91276168823242,94.94117736816406,25.74691390991211,
0.1,3.0,90.0,1000.0,6.653395175933838,7.953675270080566,8.135760307312012,8.14574146270752,26.804035186767578,8.694828987121582,
0.1,3.0,90.0,1500.0,4.177971363067627,4.907862663269043,4.191399574279785,1.9178797006607056,9.896004676818848,3.0670242309570312,
0.1,3.0,110.0,500.0,23.564069747924805,2.221902847290039,13.143799781799316,11.702329635620117,14.13542366027832,17.76932716369629,
0.1,3.0,110.0,1000.0,12.54837703704834,2.9857540130615234,4.811325550079346,6.489100933074951,9.04537582397461,11.101407051086426,
