,n,eta,beta1,beta2,beta3,x21,x31,x32,
Actual,8.703100204467773,0.489329993724823,7.268400192260742,10.89799976348877,15.27400016784668,0.6458399891853333,0.5746099948883057,0.7500799894332886,
Prediction,8.703100204467773,0.489329993724823,5.923549652099609,9.719527244567871,14.094924926757812,0.6159997582435608,0.5523019433021545,0.74468994140625,
Per Dev,8.703100204467773,0.489329993724823,18.502702713012695,10.813658714294434,7.719491958618164,4.620375156402588,3.8822944164276123,0.7185964584350586,
,
Actual,8.703100204467773,0.39868998527526855,7.013400077819824,9.800999641418457,13.175000190734863,0.599839985370636,0.5065900087356567,0.7094600200653076,
Prediction,8.703100204467773,0.39868998527526855,5.678297996520996,8.86056900024414,12.513453483581543,0.5871909260749817,0.5084904432296753,0.7164034843444824,
Per Dev,8.703100204467773,0.39868998527526855,19.03644561767578,9.595252990722656,5.0212273597717285,2.108738899230957,0.37514251470565796,0.9786970615386963,
,
Actual,8.703100204467773,0.32655999064445496,6.923099994659424,9.262499809265137,12.01200008392334,0.5714899897575378,0.4570299983024597,0.6800199747085571,
Prediction,8.703100204467773,0.32655999064445496,5.575865268707275,8.399803161621094,11.611825942993164,0.5685664415359497,0.47568291425704956,0.6957757472991943,
Per Dev,8.703100204467773,0.32655999064445496,19.459993362426758,9.313864707946777,3.3314530849456787,0.5115659236907959,4.081333160400391,2.3169572353363037,
,
Actual,8.703100204467773,0.2164199948310852,6.8846001625061035,8.88010025024414,10.925000190734863,0.548039972782135,0.3980900049209595,0.6456400156021118,
Prediction,8.703100204467773,0.2164199948310852,5.495879650115967,7.907016277313232,10.559457778930664,0.5439661741256714,0.42620643973350525,0.6663186550140381,
Per Dev,8.703100204467773,0.2164199948310852,20.171403884887695,10.958029747009277,3.345925807952881,0.7433396577835083,7.062833786010742,3.202812433242798,
,
Actual,8.703100204467773,0.4149399995803833,7.045499801635742,9.95989990234375,13.493000030517578,0.6073600053787231,0.5184199810028076,0.7165200114250183,
Prediction,8.703100204467773,0.4149399995803833,5.719984531402588,9.004107475280762,12.777854919433594,0.5923609137535095,0.516278862953186,0.7215386629104614,
Per Dev,8.703100204467773,0.4149399995803833,18.813644409179688,9.596405982971191,5.300119400024414,2.469555377960205,0.4130083918571472,0.7004202604293823,
,
Actual,8.703100204467773,0.256989985704422,6.890699863433838,8.967599868774414,11.232000350952148,0.5536999702453613,0.41639000177383423,0.6561899781227112,
Prediction,8.703100204467773,0.256989985704422,5.515998363494873,8.05789566040039,10.899894714355469,0.5526973009109497,0.4446011781692505,0.6768909692764282,
Per Dev,8.703100204467773,0.256989985704422,19.95009994506836,10.144344329833984,2.9567809104919434,0.18108531832695007,6.775180816650391,3.1547253131866455,
,
Actual,8.703100204467773,0.3481700122356415,6.942599773406982,9.397000312805176,12.319999694824219,0.5790299773216248,0.4712800085544586,0.6884499788284302,
Prediction,8.703100204467773,0.3481700122356415,5.595269680023193,8.519433975219727,11.85712718963623,0.5739115476608276,0.48548945784568787,0.7018601894378662,
Per Dev,8.703100204467773,0.3481700122356415,19.406709671020508,9.33879280090332,3.757082223892212,0.8839662075042725,3.015075922012329,1.947884440422058,
,
Actual,8.703100204467773,0.505050003528595,7.335100173950195,11.14799976348877,15.729999542236328,0.654699981212616,0.5868300199508667,0.7573800086975098,
Prediction,8.703100204467773,0.505050003528595,5.969527244567871,9.885788917541504,14.401863098144531,0.6211974620819092,0.5601266622543335,0.7497513294219971,
Per Dev,8.703100204467773,0.505050003528595,18.61696434020996,11.322307586669922,8.443333625793457,5.117232322692871,4.550441741943359,1.0072458982467651,
,
Actual,8.703100204467773,0.48304998874664307,7.24399995803833,10.803999900817871,15.100000381469727,0.6423699855804443,0.5697500109672546,0.747189998626709,
Prediction,8.703100204467773,0.48304998874664307,5.904526710510254,9.652485847473145,13.971762657165527,0.6138914823532104,0.5490807294845581,0.7426739931106567,
Per Dev,8.703100204467773,0.48304998874664307,18.490795135498047,10.658219337463379,7.471773147583008,4.433349132537842,3.6277809143066406,0.6043985486030579,
,
Actual,8.703100204467773,0.5104100108146667,7.3597002029418945,11.237000465393066,15.892999649047852,0.6577600240707397,0.5910199880599976,0.759880006313324,
Prediction,8.703100204467773,0.5104100108146667,5.985666275024414,9.943038940429688,14.506888389587402,0.6229627132415771,0.5626906156539917,0.7514476776123047,
Per Dev,8.703100204467773,0.5104100108146667,18.66969871520996,11.515186309814453,8.72152042388916,5.290274143218994,4.793302059173584,1.1096922159194946,
,
Actual,8.703100204467773,0.5301100015640259,7.458899974822998,11.59000015258789,16.527999877929688,0.6692299842834473,0.6065000295639038,0.7691199779510498,
Prediction,8.703100204467773,0.5301100015640259,6.043276309967041,10.149683952331543,14.886034965515137,0.6291796565055847,0.5717689394950867,0.7573378086090088,
Per Dev,8.703100204467773,0.5301100015640259,18.978986740112305,12.427231788635254,9.934444427490234,5.984539031982422,5.726478099822998,1.531902551651001,
,
Actual,8.703100204467773,0.46955999732017517,7.195300102233887,10.612000465393066,14.743000030517578,0.6350399851799011,0.5593900084495544,0.7409999966621399,
Prediction,8.703100204467773,0.46955999732017517,5.8651442527771,9.514270782470703,13.71760368347168,0.6094468235969543,0.5423502922058105,0.7383913993835449,
