1e-08,1.5981,3.1532,4.7197,0.14364,0.064939,0.34024
6.0486e-05,1.5982,3.1537,4.7208,0.14372,0.065032,0.34035
0.00012096,1.5984,3.1542,4.7219,0.1438,0.065125,0.34046
0.00018144,1.5985,3.1546,4.7229,0.14387,0.065217,0.34056
0.00024191,1.5986,3.1551,4.724,0.14395,0.06531,0.34067
0.00030239,1.5988,3.1556,4.725,0.14403,0.065402,0.34078
0.00036287,1.5989,3.156,4.7261,0.14411,0.065494,0.34088
0.00042334,1.599,3.1565,4.7271,0.14419,0.065586,0.34099
0.00048382,1.5992,3.157,4.7281,0.14426,0.065678,0.34109
0.00054429,1.5993,3.1574,4.7292,0.14434,0.06577,0.3412
0.00060477,1.5994,3.1579,4.7302,0.14442,0.065861,0.3413
0.00066525,1.5996,3.1583,4.7313,0.1445,0.065953,0.34141
0.00072572,1.5997,3.1588,4.7323,0.14458,0.066044,0.34151
0.0007862,1.5998,3.1593,4.7333,0.14465,0.066135,0.34162
0.00084667,1.6,3.1597,4.7344,0.14473,0.066226,0.34172
0.00090715,1.6001,3.1602,4.7354,0.14481,0.066317,0.34183
0.00096763,1.6002,3.1607,4.7364,0.14489,0.066408,0.34193
0.0010281,1.6004,3.1611,4.7375,0.14496,0.066499,0.34204
0.0010886,1.6005,3.1616,4.7385,0.14504,0.06659,0.34214
0.0011491,1.6006,3.1621,4.7395,0.14512,0.06668,0.34224
0.0012095,1.6008,3.1625,4.7405,0.1452,0.066771,0.34235
0.00127,1.6009,3.163,4.7416,0.14527,0.066861,0.34245
0.0013305,1.601,3.1634,4.7426,0.14535,0.066951,0.34255
0.001391,1.6012,3.1639,4.7436,0.14543,0.067041,0.34266
0.0014514,1.6013,3.1644,4.7446,0.1455,0.067131,0.34276
0.0015119,1.6014,3.1648,4.7457,0.14558,0.067221,0.34286
0.0015724,1.6015,3.1653,4.7467,0.14566,0.067311,0.34297
0.0016329,1.6017,3.1658,4.7477,0.14574,0.0674,0.34307
0.0016933,1.6018,3.1662,4.7487,0.14581,0.06749,0.34317
0.0017538,1.6019,3.1667,4.7497,0.14589,0.067579,0.34327
0.0018143,1.6021,3.1671,4.7507,0.14597,0.067669,0.34337
0.0018748,1.6022,3.1676,4.7517,0.14604,0.067758,0.34348
0.0019352,1.6023,3.1681,4.7527,0.14612,0.067847,0.34358
0.0019957,1.6025,3.1685,4.7538,0.1462,0.067936,0.34368
0.0020562,1.6026,3.169,4.7548,0.14627,0.068025,0.34378
0.0021167,1.6027,3.1694,4.7558,0.14635,0.068114,0.34388
0.0021771,1.6029,3.1699,4.7568,0.14643,0.068203,0.34398
0.0022376,1.603,3.1704,4.7578,0.1465,0.068291,0.34408
