Learning Rate,0.1,0.01,0.001,0.0001,,,,,
Number of hidden layers,2,3,4,,,,,,
Number of units per hidden layer,30,50,70,90,110,,,,
Number of iterations,500,1000,5000,,,,,,
,,,,,,,,,
,,,,,,,,,
Learning Rate,Number of hidden layers,Number of units per hidden layer,Number of iterations,e1,e2,e3,e4,e5,e6
0.1,2,30,500,2.34117828196741,3.80619349104635,4.20155818254836,3.64824660180294,2.09506376896415,1.23040045294444
0.1,2,30,1000,0.858563340909923,1.28395852078213,1.98944741870752,1.53349834738064,0.585302477967981,0.559845764170533
0.1,2,30,5000,0.888757154194814,1.141357421875,1.07513974201491,1.59319369274791,1.90326227197822,1.0171733424733
0.1,2,50,500,3.36442844070864,4.99069556761324,5.41932036180462,1.23474829979348,1.70669107234502,2.31821573312122
0.1,2,50,1000,0.974393930462347,1.61368552218662,2.16427699684541,0.868343643112902,0.395982621431607,0.622258801933464
0.1,2,50,5000,0.861838258024538,0.66227430707953,0.764107719113861,0.555292598662711,0.720029395632271,0.944877832173701
0.1,2,70,500,7.76920118498494,8.31942611865783,9.50081718251503,7.93737170065714,7.65111766634854,8.58339608611202
0.1,2,70,1000,3.38179933909405,4.45347475201896,4.78487719861967,8.23152326288369,7.05580186017977,3.06881259117095
0.1,2,70,5000,1.05097164023255,1.1425146895848,1.32636615885848,0.640069409359854,0.540782579668928,0.309047149377214
0.1,2,90,500,1.50793747766677,3.04121381781074,3.1920759929901,4.40954062027562,2.41114093303005,1.05039107601181
0.1,2,90,1000,0.461289675398455,1.2828955489598,1.52062720003978,1.71493383525239,1.22083229784437,0.73686215865504
0.1,2,90,5000,0.78253905287074,0.993037414460908,0.298910133931332,0.447315422287495,0.401230528518469,0.365845085402071
0.1,2,110,500,29.5048882348329,36.0157064664194,11.7885852533737,67.7236442256854,94.0009061920491,23.801765458776
0.1,2,110,1000,2.52601275889258,2.64496535397647,3.07931348737528,1.72935007417274,1.5716017563333,1.28706059500436
0.1,2,110,5000,0.738267793939263,0.911078292332338,0.933481911322862,0.871673350871074,1.12468002741661,0.226414826780627
0.1,3,30,500,2.58748894946102,4.9838033954749,4.84485429028591,4.9984643121767,4.82045632166184,2.88707489270289
0.1,3,30,1000,1.38445045368672,1.77209404077423,2.32850662079141,1.92120389042073,2.96730682964759,1.86386361440858
0.1,3,30,5000,58.6227783492739,37.6563768708304,30.3766392014601,393.63031395706,793.484801480024,15.372975038464
0.1,3,50,500,4.77522583321041,4.41266177745348,3.7066828691986,2.76529663960067,5.07381973730964,2.30656285673411
0.1,3,50,1000,4.1679568760158,4.10392693806343,6.22579663626446,11.0009418319271,8.2496632151488,6.97838737087337
0.1,3,50,5000,1.20685769488824,0.792685519443469,0.916890678674661,1.05078667944174,0.712856091933049,0.73575581120178
0.1,3,70,500,2.21868638695978,1.15557038382198,1.46755240412642,2.29644458486732,1.33005005794015,3.7652271879032
0.1,3,70,1000,2.15883143892248,1.64485459917047,2.37986656061711,1.75613277366044,2.07104034314977,1.43430897608142
0.1,3,70,5000,618.166122061788,429.322626349631,575.539614300999,364.587489957296,462.213193594015,414.463982242929
0.1,3,90,500,12.3813914965993,29.4536976332075,34.9026213611692,7.71123516152486,8.58768529097308,11.1920612723342
0.1,3,90,1000,7.73507747116251,11.4076592948999,14.5290538956761,3.14302931872372,3.58516735142491,7.76288808451028
0.1,3,90,5000,0.653897926722483,0.861504372586025,1.28019365869798,1.67770252083826,3.6877203134544,1.34448936317219
0.1,3,110,500,16.8806571310305,35.1090506221471,41.9356320193213,25.6824700801161,111.833555330228,34.3212114082483
0.1,3,110,1000,17.0541631622747,33.4188911352265,39.7965473301888,13.2614318050822,43.3856394509769,12.0362901826039
0.1,3,110,5000,6.96247378567227,5.20934201358409,13.8657721557883,3.04373298671308,3.59164364054959,1.46151019229196
0.1,4,30,500,4.62437669332818,3.94924892468399,3.13723275173632,2.22601854277975,4.49265238066689,1.63719676771492
0.1,4,30,1000,2.15112238789613,1.30958128511236,1.2665819885021,1.01566167751522,1.15568833515588,1.90121682107142
0.1,4,30,5000,1.93047600043875,2.68150072419242,2.79129268960065,2.57803433571417,3.74446901337295,2.13412398876291
0.1,4,50,500,30.3833295095217,34.3978538941801,42.6669216800574,23.4875158322168,19.4244249995896,33.165868859232
0.1,4,50,1000,6.91192013556496,8.96604730841819,11.7906805931559,10.9831404706669,4.28063136302824,10.0931458432656
0.1,4,50,5000,2.28264490424281,3.11591330538975,4.02098383651677,3.60999273260368,3.62279245730869,2.92545381152257
0.1,4,70,500,336.669597486856,138.890641458919,129.422782656246,633.497833317854,339.740307088514,506.433228563265
0.1,4,70,1000,167.445190090126,102.142054829635,75.8599866862996,171.629581685578,166.087061454491,225.846791138589
0.1,4,70,5000,40.9211194465924,15.4147323840128,9.19694680343216,101.221614291335,125.252688691234,67.7552362930404
0.1,4,90,500,530419.762787145,167426.211376404,155425.062343057,7001918.35138273,8993785.79900458,5275929.47455607
0.1,4,90,1000,11675.7198844388,6673.92084357444,4012.25084614751,21450.7912469947,19432.8568842779,26003.5123918688
0.1,4,90,5000,16506.6888893536,9455.72241906088,2289.34213726158,122356.84915034,112294.394002502,100089.272022627
