Learning Rate,0.1,0.01,0.001,0.0001
Number of hidden layers,2,3,4
Number of units per hidden layer,30,50,70,90,110
Number of iterations,500,1000,5000


Learning Rate,Number of hidden layers,Number of units per hidden layer,Number of iterations,e1,e2,e3,e4,e5,e6
0.01,2.0,70.0,1000.0,0.7470405732305602,1.0187357916538748,1.6342439897022678,1.7684394561733214,3.7357255127867606,1.9214938197978906
0.01,2.0,70.0,5000.0,0.22818620538986503,0.3397409589516801,0.38662054286172964,0.19287205323364762,1.315637878317898,0.41697310928767545
0.01,2.0,90.0,500.0,2.6641783766961873,3.4649139314042032,4.410881910534593,2.8442709115482803,6.4237038813398355,2.4139685875873234
0.01,2.0,90.0,1000.0,0.6043178849178498,0.8882442661444149,1.313629744734933,0.3803055038150543,3.533443332577414,1.7377160806203087
0.01,2.0,90.0,5000.0,0.1573831286156245,0.1649973896650924,0.1167370733790591,0.4336647414925029,1.1096195468482957,0.4660465387292947
0.01,2.0,110.0,500.0,4.417372845193261,6.165911045776283,6.706678861349373,1.6868760096475164,3.8407808729908415,0.8715350973791021
0.01,2.0,110.0,1000.0,1.1850900784158251,1.529265345828262,2.3339267735888214,2.5566551707292904,1.0524816983615985,4.1232230509435706
0.01,2.0,110.0,5000.0,0.5176177037765647,0.5652689530560574,0.6198320529774064,0.8565708884275778,1.0517197121719457,0.9998459932867918
0.01,3.0,30.0,500.0,3.5533419243122277,5.764200158791409,5.855248601727838,6.4846202525876,2.906048347304065,2.5075723038479882
0.01,3.0,30.0,1000.0,1.2003873967442547,2.2737983287379957,2.7781493925813106,1.679400959665916,4.477186452194207,0.904774895110823
0.01,3.0,30.0,5000.0,2.2036019798483935,2.0789900404287582,2.069080306785619,4.30865546296506,4.527339380793467,3.9502808678801555
0.01,3.0,50.0,500.0,3.1288920857229243,2.7201409010130773,2.928899940141431,3.4993405355455898,6.290636075407696,0.6225772252516535
