,n,eta,beta1,beta2,beta3,x21,x31,x32,
Actual,2.444200038909912,0.4795199930667877,4.346199989318848,8.604100227355957,13.402999877929688,0.5996699929237366,0.5477499961853027,0.7262899875640869,
Prediction,2.444200038909912,0.4795199930667877,4.363349914550781,8.618387222290039,13.418971061706543,0.599669873714447,0.5486541390419006,0.7268113493919373,
Per Dev,2.444200038909912,0.4795199930667877,0.3945958912372589,0.16604867577552795,0.11916125565767288,1.987914765777532e-05,0.16506487131118774,0.07178425043821335,
,
Actual,2.444200038909912,0.37630000710487366,3.8266000747680664,7.126800060272217,10.866999626159668,0.523930013179779,0.45824000239372253,0.6681900024414062,
Prediction,2.444200038909912,0.37630000710487366,3.8599660396575928,7.12822151184082,10.843621253967285,0.5224406719207764,0.4564014971256256,0.6670136451721191,
Per Dev,2.444200038909912,0.37630000710487366,0.8719480633735657,0.019945159554481506,0.21513181924819946,0.28426340222358704,0.40121012926101685,0.1760513186454773,
,
Actual,2.444200038909912,0.29416000843048096,3.552999973297119,6.275700092315674,9.370599746704102,0.46597999334335327,0.38745999336242676,0.6207500100135803,
Prediction,2.444200038909912,0.29416000843048096,3.56245493888855,6.272178649902344,9.351459503173828,0.46490681171417236,0.38646718859672546,0.6201741695404053,
Per Dev,2.444200038909912,0.29416000843048096,0.26611217856407166,0.056112341582775116,0.20425845682621002,0.23030635714530945,0.25623413920402527,0.09276527911424637,
,
Actual,2.444200038909912,0.16874000430107117,3.308000087738037,5.362100124359131,7.6631999015808105,0.3862699866294861,0.2820799946784973,0.54680997133255,
Prediction,2.444200038909912,0.16874000430107117,3.354572057723999,5.386623859405518,7.705660820007324,0.3864479064941406,0.2824499011039734,0.5470518469810486,
Per Dev,2.444200038909912,0.16874000430107117,1.4078588485717773,0.4573532044887543,0.5540885925292969,0.046061012893915176,0.13113529980182648,0.04423394799232483,
,
Actual,2.444200038909912,0.3948099911212921,3.90339994430542,7.353300094604492,11.258999824523926,0.5373200178146362,0.47426000237464905,0.6787400245666504,
Prediction,2.444200038909912,0.3948099911212921,3.9368882179260254,7.36338472366333,11.255064010620117,0.5361967086791992,0.47298532724380493,0.6778197288513184,
Per Dev,2.444200038909912,0.3948099911212921,0.8579257726669312,0.13714425265789032,0.034957047551870346,0.2090577483177185,0.26877138018608093,0.1355888396501541,
,
Actual,2.444200038909912,0.21493999660015106,3.376699924468994,5.649799823760986,8.224300384521484,0.4137499928474426,0.32019999623298645,0.5741000175476074,
Prediction,2.444200038909912,0.21493999660015106,3.4259562492370605,5.683764457702637,8.252239227294922,0.4150962829589844,0.3208034336566925,0.5746328830718994,
Per Dev,2.444200038909912,0.21493999660015106,1.458711862564087,0.6011652946472168,0.33971086144447327,0.3253873586654663,0.18845641613006592,0.09281753748655319,
,
Actual,2.444200038909912,0.31876999139785767,3.6243999004364014,6.506800174713135,9.781299591064453,0.4830299913883209,0.4085899889469147,0.6350700259208679,
Prediction,2.444200038909912,0.31876999139785767,3.6346843242645264,6.505789756774902,9.76313591003418,0.48211634159088135,0.40779510140419006,0.6347643136978149,
Per Dev,2.444200038909912,0.31876999139785767,0.28375521302223206,0.015528645366430283,0.1856980323791504,0.18914970755577087,0.19454404711723328,0.04813835024833679,
,
Actual,2.444200038909912,0.4974299967288971,4.4629998207092285,8.92389965057373,13.946999549865723,0.6130300164222717,0.5633000135421753,0.7362099885940552,
Prediction,2.444200038909912,0.4974299967288971,4.479410171508789,8.932433128356934,13.954249382019043,0.6127979159355164,0.5640840530395508,0.7366501092910767,
Per Dev,2.444200038909912,0.4974299967288971,0.3676977753639221,0.09562498331069946,0.051981303840875626,0.03786119446158409,0.13918684422969818,0.05978194996714592,
,
Actual,2.444200038909912,0.4723699986934662,4.30210018157959,8.482500076293945,13.196000099182129,0.5943499803543091,0.5415300130844116,0.722320020198822,
Prediction,2.444200038909912,0.4723699986934662,4.308980464935303,8.476902961730957,13.18072509765625,0.5933894515037537,0.5413654446601868,0.7220547795295715,
Per Dev,2.444200038909912,0.4723699986934662,0.15992848575115204,0.06598425656557083,0.11575478315353394,0.1616099774837494,0.030389530584216118,0.03672065958380699,
,
Actual,2.444200038909912,0.5035300254821777,4.505000114440918,9.038200378417969,14.142000198364258,0.6175900101661682,0.5686100125312805,0.739579975605011,
Prediction,2.444200038909912,0.5035300254821777,4.520628452301025,9.051763534545898,14.161480903625488,0.6174389719963074,0.5696069002151489,0.7401250600814819,
Per Dev,2.444200038909912,0.5035300254821777,0.34691092371940613,0.15006478130817413,0.13775071501731873,0.024456055834889412,0.1753201186656952,0.0737019032239914,
,
Actual,2.444200038909912,0.5259600281715393,4.670000076293945,9.484199523925781,14.89900016784668,0.6344199776649475,0.588100016117096,0.7519199848175049,
Prediction,2.444200038909912,0.5259600281715393,4.685327529907227,9.511507034301758,14.949583053588867,0.634337842464447,0.5891937613487244,0.7525317072868347,
Per Dev,2.444200038909912,0.5259600281715393,0.3282110095024109,0.2879263460636139,0.33950522541999817,0.01294650323688984,0.1859794557094574,0.08135472983121872,
,
Actual,2.444200038909912,0.4570100009441376,4.212100028991699,8.232600212097168,12.769000053405762,0.5829600095748901,0.5281999707221985,0.7137600183486938,
Prediction,2.444200038909912,0.4570100009441376,4.222019195556641,8.226834297180176,12.751585006713867,0.5819838047027588,0.5276618003845215,0.7133007049560547,
Per Dev,2.444200038909912,0.4570100009441376,0.23549219965934753,0.0700375959277153,0.13638535141944885,0.16745656728744507,0.10188760608434677,0.06435123831033707,
,
Actual,2.444200038909912,0.002757699927315116,3.2304000854492188,4.898900032043457,6.513199806213379,0.3366200029850006,0.19109000265598297,0.47824999690055847,
Prediction,2.444200038909912,0.002757699927315116,3.3336563110351562,5.156357288360596,6.982266902923584,0.34772586822509766,0.2078211009502411,0.4908447265625,
Per Dev,2.444200038909912,0.002757699927315116,3.1963911056518555,5.255409240722656,7.201791763305664,3.299229145050049,8.755611419677734,2.6335031986236572,
,
Actual,2.444200038909912,0.0037245999556034803,3.2304000854492188,4.898900032043457,6.513199806213379,0.3366200029850006,0.19109000265598297,0.47826001048088074,
Prediction,2.444200038909912,0.0037245999556034803,3.333251953125,5.155028820037842,6.979931831359863,0.34765905141830444,0.20777058601379395,0.49083107709884644,
Per Dev,2.444200038909912,0.0037245999556034803,3.1838741302490234,5.228291988372803,7.165940761566162,3.2793798446655273,8.72917652130127,2.628500461578369,
,
Actual,2.444200038909912,0.050808001309633255,3.2327001094818115,4.924600124359131,6.622300148010254,0.3395499885082245,0.2004999965429306,0.4856500029563904,
Prediction,2.444200038909912,0.050808001309633255,3.314251184463501,5.089839458465576,6.87472677230835,0.345669150352478,0.2074533849954605,0.49192941188812256,
Per Dev,2.444200038909912,0.050808001309633255,2.5226922035217285,3.3553857803344727,3.8117666244506836,1.8021388053894043,3.468024253845215,1.2929905652999878,
,
Actual,2.444200038909912,0.147489994764328,3.2843000888824463,5.249199867248535,7.429900169372559,0.37481001019477844,0.2650800049304962,0.5344099998474121,
Prediction,2.444200038909912,0.147489994764328,3.336271286010742,5.27735710144043,7.47005558013916,0.3756386637687683,0.2658500373363495,0.5350252985954285,
Per Dev,2.444200038909912,0.147489994764328,1.5824131965637207,0.5364100337028503,0.5404568910598755,0.2210862934589386,0.2904905676841736,0.11513607949018478,
,
Actual,2.444200038909912,0.014721999876201153,3.2304000854492188,4.899499893188477,6.516600131988525,0.3366900086402893,0.1913899928331375,0.4784899950027466,
Prediction,2.444200038909912,0.014721999876201153,3.3300154209136963,5.14022159576416,6.9534912109375,0.3470798134803772,0.2074558287858963,0.49091798067092896,
Per Dev,2.444200038909912,0.014721999876201153,3.083684206008911,4.91318941116333,6.704278945922852,3.085866689682007,8.394292831420898,2.597334384918213,
,
Actual,2.444200038909912,0.23863999545574188,3.4214000701904297,5.819200038909912,8.541500091552734,0.42882999777793884,0.3401400148868561,0.5881199836730957,
Prediction,2.444200038909912,0.23863999545574188,3.4664134979248047,5.8511810302734375,8.565857887268066,0.4303043782711029,0.3410000801086426,0.5889402031898499,
Per Dev,2.444200038909912,0.23863999545574188,1.315643548965454,0.5495771169662476,0.2851699888706207,0.3438146710395813,0.25285622477531433,0.13946466147899628,
,
Actual,2.444200038909912,0.19231000542640686,3.340100049972534,5.5019001960754395,7.940299987792969,0.3999199867248535,0.3013800084590912,0.5607100129127502,
Prediction,2.444200038909912,0.19231000542640686,3.383542776107788,5.530721664428711,7.97941780090332,0.4007183611392975,0.30172279477119446,0.5608379244804382,
Per Dev,2.444200038909912,0.19231000542640686,1.300641417503357,0.5238457322120667,0.49264904856681824,0.19963353872299194,0.11373890191316605,0.022812427952885628,
,
Actual,2.444200038909912,0.3040800094604492,3.5808000564575195,6.366499900817871,9.532600402832031,0.4728100001811981,0.3959600031375885,0.6265299916267395,
Prediction,2.444200038909912,0.3040800094604492,3.5890111923217773,6.360363483428955,9.507109642028809,0.47157490253448486,0.39481067657470703,0.6259120106697083,
Per Dev,2.444200038909912,0.3040800094604492,0.22931008040905,0.09638604521751404,0.267406165599823,0.2612249553203583,0.290263295173645,0.0986354872584343,
,
Actual,2.444200038909912,0.5188000202178955,4.615499973297119,9.337300300598145,14.649999618530273,0.629040002822876,0.5818799734115601,0.7479900121688843,
Prediction,2.444200038909912,0.5188000202178955,4.6331329345703125,9.36041259765625,14.689908027648926,0.628881573677063,0.5828596353530884,0.7485136389732361,
Per Dev,2.444200038909912,0.5188000202178955,0.3820379376411438,0.24752654135227203,0.27241235971450806,0.025185860693454742,0.16836151480674744,0.07000452280044556,
,
Actual,2.444200038909912,0.1685599982738495,3.307800054550171,5.361100196838379,7.661200046539307,0.38616999983787537,0.2819400131702423,0.5467100143432617,
Prediction,2.444200038909912,0.1685599982738495,3.354417562484741,5.385608673095703,7.703648567199707,0.38634365797042847,0.2823064625263214,0.5469500422477722,
Per Dev,2.444200038909912,0.1685599982738495,1.409320592880249,0.457153856754303,0.5540714263916016,0.0449693463742733,0.12997423112392426,0.04390406236052513,
,
Actual,2.444200038909912,0.19065000116825104,3.337599992752075,5.491499900817871,7.920100212097168,0.39893001317977905,0.30000001192092896,0.5597299933433533,
Prediction,2.444200038909912,0.19065000116825104,3.380743980407715,5.5198235511779785,7.959671974182129,0.399681031703949,0.3003552258014679,0.5598539113998413,
Per Dev,2.444200038909912,0.19065000116825104,1.2926650047302246,0.5157725811004639,0.4996371567249298,0.18825821578502655,0.11840462684631348,0.022138897329568863,
,
Actual,2.444200038909912,0.48159000277519226,4.359300136566162,8.639900207519531,13.46399974822998,0.6012099981307983,0.5495399832725525,0.7274399995803833,
Prediction,2.444200038909912,0.48159000277519226,4.375854015350342,8.654108047485352,13.480525016784668,0.6011977791786194,0.5504651069641113,0.7279684543609619,
