,n,eta,beta1,beta2,beta3,x21,x31,x32,
Actual,2.444200038909912,0.4795199930667877,4.346199989318848,8.604100227355957,13.402999877929688,0.5996699929237366,0.5477499961853027,0.7262899875640869,
Prediction,2.444200038909912,0.4795199930667877,4.358996391296387,8.600358963012695,13.37826919555664,0.5982532501220703,0.5471015572547913,0.7257645130157471,
Per Dev,2.444200038909912,0.4795199930667877,0.29442736506462097,0.04348234087228775,0.1845160275697708,0.2362537384033203,0.1183822751045227,0.07235051691532135,
,
Actual,2.444200038909912,0.37630000710487366,3.8266000747680664,7.126800060272217,10.866999626159668,0.523930013179779,0.45824000239372253,0.6681900024414062,
Prediction,2.444200038909912,0.37630000710487366,3.800696849822998,7.12486457824707,10.884822845458984,0.5235003232955933,0.45798778533935547,0.6680558919906616,
Per Dev,2.444200038909912,0.37630000710487366,0.6769253611564636,0.027157800272107124,0.16401232779026031,0.082012839615345,0.0550403855741024,0.02007070556282997,
,
Actual,2.444200038909912,0.29416000843048096,3.552999973297119,6.275700092315674,9.370599746704102,0.46597999334335327,0.38745999336242676,0.6207500100135803,
Prediction,2.444200038909912,0.29416000843048096,3.5415539741516113,6.274613857269287,9.389883995056152,0.4657033681869507,0.38776201009750366,0.6206611394882202,
Per Dev,2.444200038909912,0.29416000843048096,0.3221502900123596,0.017308587208390236,0.20579522848129272,0.05936416983604431,0.07794785499572754,0.014316637068986893,
,
Actual,2.444200038909912,0.16874000430107117,3.308000087738037,5.362100124359131,7.6631999015808105,0.3862699866294861,0.2820799946784973,0.54680997133255,
Prediction,2.444200038909912,0.16874000430107117,3.3432834148406982,5.377175807952881,7.669137001037598,0.3876582384109497,0.2824500501155853,0.5469902157783508,
Per Dev,2.444200038909912,0.16874000430107117,1.066606044769287,0.281152606010437,0.07747545838356018,0.35939934849739075,0.13118812441825867,0.03296290338039398,
,
Actual,2.444200038909912,0.3948099911212921,3.90339994430542,7.353300094604492,11.258999824523926,0.5373200178146362,0.47426000237464905,0.6787400245666504,
Prediction,2.444200038909912,0.3948099911212921,3.8792293071746826,7.359540939331055,11.288379669189453,0.5377592444419861,0.474828839302063,0.6791802644729614,
Per Dev,2.444200038909912,0.3948099911212921,0.6192200779914856,0.08487134426832199,0.2609454393386841,0.08174395561218262,0.11994199454784393,0.06486134231090546,
,
Actual,2.444200038909912,0.21493999660015106,3.376699924468994,5.649799823760986,8.224300384521484,0.4137499928474426,0.32019999623298645,0.5741000175476074,
Prediction,2.444200038909912,0.21493999660015106,3.3866968154907227,5.660400867462158,8.240804672241211,0.41510874032974243,0.32066237926483154,0.5743147730827332,
Per Dev,2.444200038909912,0.21493999660015106,0.29605504870414734,0.18763573467731476,0.20067709684371948,0.328398197889328,0.14440444111824036,0.03740733861923218,
,
Actual,2.444200038909912,0.31876999139785767,3.6243999004364014,6.506800174713135,9.781299591064453,0.4830299913883209,0.4085899889469147,0.6350700259208679,
Prediction,2.444200038909912,0.31876999139785767,3.6102867126464844,6.509202003479004,9.809310913085938,0.48259395360946655,0.4088357985019684,0.6349762678146362,
Per Dev,2.444200038909912,0.31876999139785767,0.38939380645751953,0.036912593990564346,0.28637629747390747,0.09027136862277985,0.06016044691205025,0.014763426966965199,
,
Actual,2.444200038909912,0.4974299967288971,4.4629998207092285,8.92389965057373,13.946999549865723,0.6130300164222717,0.5633000135421753,0.7362099885940552,
Prediction,2.444200038909912,0.4974299967288971,4.4821343421936035,8.928359985351562,13.933202743530273,0.611819326877594,0.5629387497901917,0.7357473373413086,
Per Dev,2.444200038909912,0.4974299967288971,0.42873677611351013,0.04998189955949783,0.09892311692237854,0.19749270379543304,0.06413345038890839,0.06284229457378387,
,
Actual,2.444200038909912,0.4723699986934662,4.30210018157959,8.482500076293945,13.196000099182129,0.5943499803543091,0.5415300130844116,0.722320020198822,
Prediction,2.444200038909912,0.4723699986934662,4.308499813079834,8.471933364868164,13.162576675415039,0.5928686261177063,0.5408225059509277,0.7218128442764282,
Per Dev,2.444200038909912,0.4723699986934662,0.1487559825181961,0.12457071244716644,0.2532845139503479,0.24923938512802124,0.13064967095851898,0.07021484524011612,
,
Actual,2.444200038909912,0.5035300254821777,4.505000114440918,9.038200378417969,14.142000198364258,0.6175900101661682,0.5686100125312805,0.739579975605011,
Prediction,2.444200038909912,0.5035300254821777,4.525271892547607,9.045635223388672,14.131930351257324,0.6166029572486877,0.5685150027275085,0.7392771244049072,
Per Dev,2.444200038909912,0.5035300254821777,0.44998395442962646,0.08226023614406586,0.0712052509188652,0.15982332825660706,0.016709133982658386,0.040949080139398575,
,
Actual,2.444200038909912,0.5259600281715393,4.670000076293945,9.484199523925781,14.89900016784668,0.6344199776649475,0.588100016117096,0.7519199848175049,
Prediction,2.444200038909912,0.5259600281715393,4.6892547607421875,9.501832008361816,14.909225463867188,0.6338267922401428,0.5885452032089233,0.7520039081573486,
Per Dev,2.444200038909912,0.5259600281715393,0.4123058617115021,0.1859143078327179,0.06863075494766235,0.09350043535232544,0.07569921761751175,0.011161206290125847,
,
Actual,2.444200038909912,0.4570100009441376,4.212100028991699,8.232600212097168,12.769000053405762,0.5829600095748901,0.5281999707221985,0.7137600183486938,
Prediction,2.444200038909912,0.4570100009441376,4.20961332321167,8.218839645385742,12.735410690307617,0.5816807150840759,0.5276198387145996,0.7134716510772705,
Per Dev,2.444200038909912,0.4570100009441376,0.05903719738125801,0.16714726388454437,0.2630539834499359,0.21944807469844818,0.10983188450336456,0.0404011532664299,
,
Actual,2.444200038909912,0.002757699927315116,3.2304000854492188,4.898900032043457,6.513199806213379,0.3366200029850006,0.19109000265598297,0.47824999690055847,
Prediction,2.444200038909912,0.002757699927315116,3.404797315597534,5.038208484649658,6.6620306968688965,0.35222452878952026,0.21054764091968536,0.4945336878299713,
Per Dev,2.444200038909912,0.002757699927315116,5.398626327514648,2.843667984008789,2.2850656509399414,4.635650157928467,10.18244743347168,3.404849052429199,
,
Actual,2.444200038909912,0.0037245999556034803,3.2304000854492188,4.898900032043457,6.513199806213379,0.3366200029850006,0.19109000265598297,0.47826001048088074,
Prediction,2.444200038909912,0.0037245999556034803,3.4031734466552734,5.037250995635986,6.662127494812012,0.3521730303764343,0.2105567455291748,0.4945359230041504,
Per Dev,2.444200038909912,0.0037245999556034803,5.348358154296875,2.824122905731201,2.2865519523620605,4.620351791381836,10.187211990356445,3.403151512145996,
,
Actual,2.444200038909912,0.050808001309633255,3.2327001094818115,4.924600124359131,6.622300148010254,0.3395499885082245,0.2004999965429306,0.4856500029563904,
Prediction,2.444200038909912,0.050808001309633255,3.3289365768432617,5.000086307525635,6.691487789154053,0.3500525653362274,0.21224138140678406,0.4954153597354889,
Per Dev,2.444200038909912,0.050808001309633255,2.976968765258789,1.5328388214111328,1.0447674989700317,3.0930871963500977,5.856052398681641,2.0107808113098145,
,
Actual,2.444200038909912,0.147489994764328,3.2843000888824463,5.249199867248535,7.429900169372559,0.37481001019477844,0.2650800049304962,0.5344099998474121,
Prediction,2.444200038909912,0.147489994764328,3.3317716121673584,5.273126125335693,7.435340404510498,0.37689486145973206,0.26583316922187805,0.5349298715591431,
Per Dev,2.444200038909912,0.147489994764328,1.4454076290130615,0.45580771565437317,0.07322083413600922,0.5562421679496765,0.2841271758079529,0.09727956354618073,
,
Actual,2.444200038909912,0.014721999876201153,3.2304000854492188,4.899499893188477,6.516600131988525,0.3366900086402893,0.1913899928331375,0.4784899950027466,
Prediction,2.444200038909912,0.014721999876201153,3.384826898574829,5.026930809020996,6.664748668670654,0.3516053855419159,0.21072277426719666,0.4946025311946869,
Per Dev,2.444200038909912,0.014721999876201153,4.780423641204834,2.6008963584899902,2.273402452468872,4.430002689361572,10.101249694824219,3.3673715591430664,
,
Actual,2.444200038909912,0.23863999545574188,3.4214000701904297,5.819200038909912,8.541500091552734,0.42882999777793884,0.3401400148868561,0.5881199836730957,
Prediction,2.444200038909912,0.23863999545574188,3.4241182804107666,5.821876049041748,8.548003196716309,0.4293263554573059,0.339946985244751,0.5878357291221619,
Per Dev,2.444200038909912,0.23863999545574188,0.07944730669260025,0.0459858775138855,0.07613539695739746,0.11574696004390717,0.05675005540251732,0.04833274707198143,
,
Actual,2.444200038909912,0.19231000542640686,3.340100049972534,5.5019001960754395,7.940299987792969,0.3999199867248535,0.3013800084590912,0.5607100129127502,
Prediction,2.444200038909912,0.19231000542640686,3.3614706993103027,5.515831470489502,7.955721378326416,0.4013901352882385,0.3018566071987152,0.560940682888031,
Per Dev,2.444200038909912,0.19231000542640686,0.6398206353187561,0.2532084286212921,0.19421672821044922,0.3676106631755829,0.15813881158828735,0.041138906031847,
,
Actual,2.444200038909912,0.3040800094604492,3.5808000564575195,6.366499900817871,9.532600402832031,0.4728100001811981,0.3959600031375885,0.6265299916267395,
Prediction,2.444200038909912,0.3040800094604492,3.5692245960235596,6.365789413452148,9.552845001220703,0.4723649024963379,0.39616888761520386,0.6263787746429443,
Per Dev,2.444200038909912,0.3040800094604492,0.3232646584510803,0.011159779503941536,0.21237225830554962,0.09413880854845047,0.052753936499357224,0.024135634303092957,
,
Actual,2.444200038909912,0.5188000202178955,4.615499973297119,9.337300300598145,14.649999618530273,0.629040002822876,0.5818799734115601,0.7479900121688843,
Prediction,2.444200038909912,0.5188000202178955,4.634584426879883,9.34789752960205,14.646730422973633,0.628193736076355,0.5820689797401428,0.747902512550354,
Per Dev,2.444200038909912,0.5188000202178955,0.41348618268966675,0.11349349468946457,0.02231532894074917,0.13453306257724762,0.03248201310634613,0.011697965674102306,
,
Actual,2.444200038909912,0.1685599982738495,3.307800054550171,5.361100196838379,7.661200046539307,0.38616999983787537,0.2819400131702423,0.5467100143432617,
Prediction,2.444200038909912,0.1685599982738495,3.343174457550049,5.376112461090088,7.666896820068359,0.3875524401664734,0.28229963779449463,0.5468817949295044,
Per Dev,2.444200038909912,0.1685599982738495,1.069423794746399,0.2800220847129822,0.07435876131057739,0.35798749327659607,0.12755359709262848,0.031420785933732986,
,
Actual,2.444200038909912,0.19065000116825104,3.337599992752075,5.491499900817871,7.920100212097168,0.39893001317977905,0.30000001192092896,0.5597299933433533,
Prediction,2.444200038909912,0.19065000116825104,3.3602359294891357,5.506119728088379,7.935615062713623,0.40042823553085327,0.3004918396472931,0.5599625110626221,
Per Dev,2.444200038909912,0.19065000116825104,0.6782100200653076,0.26622650027275085,0.1958921104669571,0.3755601942539215,0.16394256055355072,0.041541051119565964,
,
Actual,2.444200038909912,0.48159000277519226,4.359300136566162,8.639900207519531,13.46399974822998,0.6012099981307983,0.5495399832725525,0.7274399995803833,
Prediction,2.444200038909912,0.48159000277519226,4.373956203460693,8.638057708740234,13.441425323486328,0.5998263955116272,0.5489287376403809,0.7269142866134644,
Per Dev,2.444200038909912,0.48159000277519226,0.3362022936344147,0.02132546342909336,0.16766506433486938,0.23013633489608765,0.11122860014438629,0.07226891070604324,
,
Actual,2.444200038909912,0.19199000298976898,3.339600086212158,5.499800205230713,7.936299800872803,0.39972999691963196,0.3010999858379364,0.5605199933052063,
Prediction,2.444200038909912,0.19199000298976898,3.361237049102783,5.513967990875244,7.951860427856445,0.4012053608894348,0.3015942871570587,0.5607527494430542,
Per Dev,2.444200038909912,0.19199000298976898,0.6478908658027649,0.2576054632663727,0.19606903195381165,0.36909011006355286,0.1641651690006256,0.041525036096572876,
,
Actual,2.444200038909912,0.07907100021839142,3.239300012588501,4.9822998046875,6.8018999099731445,0.34606999158859253,0.21565000712871552,0.4973599910736084,
