,n,eta,beta1,beta2,beta3,x21,x31,x32,
Actual,8.703100204467773,0.489329993724823,7.268400192260742,10.89799976348877,15.27400016784668,0.6458399891853333,0.5746099948883057,0.7500799894332886,
Prediction,8.703100204467773,0.489329993724823,7.262117385864258,10.888270378112793,15.26276969909668,0.6456667184829712,0.5746625065803528,0.7500124573707581,
Per Dev,8.703100204467773,0.489329993724823,0.08644001930952072,0.08927679806947708,0.07352670282125473,0.026828734204173088,0.009138667024672031,0.00900331512093544,
,
Actual,8.703100204467773,0.39868998527526855,7.013400077819824,9.800999641418457,13.175000190734863,0.599839985370636,0.5065900087356567,0.7094600200653076,
Prediction,8.703100204467773,0.39868998527526855,7.014270305633545,9.80352783203125,13.178823471069336,0.5999182462692261,0.5066432952880859,0.7094613313674927,
Per Dev,8.703100204467773,0.39868998527526855,0.01240807306021452,0.025795230641961098,0.029019204899668694,0.013046962209045887,0.010518674738705158,0.0001848310203058645,
,
Actual,8.703100204467773,0.32655999064445496,6.923099994659424,9.262499809265137,12.01200008392334,0.5714899897575378,0.4570299983024597,0.6800199747085571,
Prediction,8.703100204467773,0.32655999064445496,6.920659065246582,9.26048469543457,12.00787353515625,0.5714321732521057,0.4570218622684479,0.6800245642662048,
Per Dev,8.703100204467773,0.32655999064445496,0.03525774925947189,0.02175561524927616,0.034353554248809814,0.010116801597177982,0.0017801969079300761,0.0006749151507392526,
,
Actual,8.703100204467773,0.2164199948310852,6.8846001625061035,8.88010025024414,10.925000190734863,0.548039972782135,0.3980900049209595,0.6456400156021118,
Prediction,8.703100204467773,0.2164199948310852,6.880561828613281,8.87669849395752,10.920646667480469,0.5479147434234619,0.3979094624519348,0.6455408930778503,
Per Dev,8.703100204467773,0.2164199948310852,0.05865749716758728,0.03830763325095177,0.039849184453487396,0.022850405424833298,0.04535217210650444,0.015352599322795868,
,
Actual,8.703100204467773,0.4149399995803833,7.045499801635742,9.95989990234375,13.493000030517578,0.6073600053787231,0.5184199810028076,0.7165200114250183,
Prediction,8.703100204467773,0.4149399995803833,7.045320987701416,9.958983421325684,13.491388320922852,0.607333242893219,0.5183945894241333,0.7165286540985107,
Per Dev,8.703100204467773,0.4149399995803833,0.00253798789344728,0.009201709181070328,0.011944782920181751,0.004406362771987915,0.004897878039628267,0.0012062012683600187,
,
Actual,8.703100204467773,0.256989985704422,6.890699863433838,8.967599868774414,11.232000350952148,0.5536999702453613,0.41639000177383423,0.6561899781227112,
Prediction,8.703100204467773,0.256989985704422,6.889449596405029,8.963289260864258,11.226409912109375,0.5534685850143433,0.4160059690475464,0.6558838486671448,
Per Dev,8.703100204467773,0.256989985704422,0.018144268542528152,0.04806869104504585,0.04977242276072502,0.041788917034864426,0.09222909808158875,0.04665256291627884,
,
Actual,8.703100204467773,0.3481700122356415,6.942599773406982,9.397000312805176,12.319999694824219,0.5790299773216248,0.4712800085544586,0.6884499788284302,
Prediction,8.703100204467773,0.3481700122356415,6.944310665130615,9.397404670715332,12.32187271118164,0.5789872407913208,0.4712214767932892,0.6883493065834045,
Per Dev,8.703100204467773,0.3481700122356415,0.024643385782837868,0.004303053021430969,0.015203054994344711,0.007380710914731026,0.012419742532074451,0.014623030088841915,
,
Actual,8.703100204467773,0.505050003528595,7.335100173950195,11.14799976348877,15.729999542236328,0.654699981212616,0.5868300199508667,0.7573800086975098,
Prediction,8.703100204467773,0.505050003528595,7.332889556884766,11.147393226623535,15.730209350585938,0.6546845436096191,0.5867748856544495,0.7573740482330322,
Per Dev,8.703100204467773,0.505050003528595,0.03013751655817032,0.005440768785774708,0.0013338102726265788,0.0023579660337418318,0.009395275264978409,0.0007869846886023879,
,
Actual,8.703100204467773,0.48304998874664307,7.24399995803833,10.803999900817871,15.100000381469727,0.6423699855804443,0.5697500109672546,0.747189998626709,
Prediction,8.703100204467773,0.48304998874664307,7.240200042724609,10.800298690795898,15.10068130493164,0.6422053575515747,0.5698877573013306,0.747124969959259,
Per Dev,8.703100204467773,0.48304998874664307,0.05245603993535042,0.03425777703523636,0.004509426653385162,0.0256282240152359,0.024176625534892082,0.008703096769750118,
,
Actual,8.703100204467773,0.5104100108146667,7.3597002029418945,11.237000465393066,15.892999649047852,0.6577600240707397,0.5910199880599976,0.759880006313324,
Prediction,8.703100204467773,0.5104100108146667,7.358448505401611,11.236824989318848,15.89120101928711,0.6577141284942627,0.5908861756324768,0.7598720788955688,
Per Dev,8.703100204467773,0.5104100108146667,0.017007453367114067,0.0015615918673574924,0.011317119933664799,0.006977556273341179,0.022640930488705635,0.001043246011249721,
,
Actual,8.703100204467773,0.5301100015640259,7.458899974822998,11.59000015258789,16.527999877929688,0.6692299842834473,0.6065000295639038,0.7691199779510498,
Prediction,8.703100204467773,0.5301100015640259,7.45632791519165,11.587488174438477,16.525531768798828,0.6692823171615601,0.6064438223838806,0.7692062258720398,
Per Dev,8.703100204467773,0.5301100015640259,0.03448309749364853,0.021673668175935745,0.014932896010577679,0.00781986489892006,0.009267465211451054,0.011213844642043114,
,
Actual,8.703100204467773,0.46955999732017517,7.195300102233887,10.612000465393066,14.743000030517578,0.6350399851799011,0.5593900084495544,0.7409999966621399,
Prediction,8.703100204467773,0.46955999732017517,7.196293354034424,10.613232612609863,14.749401092529297,0.6349107623100281,0.5594730377197266,0.7409618496894836,
Per Dev,8.703100204467773,0.46955999732017517,0.013804174959659576,0.01161088515073061,0.043417636305093765,0.020348776131868362,0.014842822216451168,0.005148039199411869,
,
Actual,8.703100204467773,0.07066500186920166,6.8821001052856445,8.82229995727539,10.60200023651123,0.5442000031471252,0.37707000970840454,0.6336899995803833,
Prediction,8.703100204467773,0.07066500186920166,6.880719184875488,8.821359634399414,10.598142623901367,0.5442068576812744,0.3769318461418152,0.6336842775344849,
Per Dev,8.703100204467773,0.07066500186920166,0.020065393298864365,0.010658477433025837,0.03638570383191109,0.0012595616281032562,0.036641355603933334,0.0009029724169522524,
,
Actual,8.703100204467773,0.07151400297880173,6.8821001052856445,8.82229995727539,10.60200023651123,0.5442000031471252,0.37707000970840454,0.6336899995803833,
Prediction,8.703100204467773,0.07151400297880173,6.880776882171631,8.821454048156738,10.598527908325195,0.5442105531692505,0.37694844603538513,0.6336952447891235,
Per Dev,8.703100204467773,0.07151400297880173,0.019227024167776108,0.009588305838406086,0.03275163099169731,0.001938629662618041,0.03223901987075806,0.000827724696137011,
,
Actual,8.703100204467773,0.11286000162363052,6.8821001052856445,8.822999954223633,10.611000061035156,0.5442399978637695,0.3776800036430359,0.6340399980545044,
Prediction,8.703100204467773,0.11286000162363052,6.878760814666748,8.820067405700684,10.609966278076172,0.5441120862960815,0.3775797188282013,0.6339805722236633,
Per Dev,8.703100204467773,0.11286000162363052,0.04852139204740524,0.03323754295706749,0.009742558933794498,0.023502785712480545,0.026552854105830193,0.009372568689286709,
,
Actual,8.703100204467773,0.19776000082492828,6.883399963378906,8.856300354003906,10.821000099182129,0.5464699864387512,0.391510009765625,0.6418799757957458,
Prediction,8.703100204467773,0.19776000082492828,6.8795599937438965,8.855149269104004,10.822446823120117,0.5464648008346558,0.39171507954597473,0.6419820785522461,
Per Dev,8.703100204467773,0.19776000082492828,0.05578594282269478,0.012997356243431568,0.013369595631957054,0.0009489274816587567,0.052379194647073746,0.01590682938694954,
,
Actual,8.703100204467773,0.08117099851369858,6.8821001052856445,8.82229995727539,10.602999687194824,0.5442000031471252,0.37711000442504883,0.6337199807167053,
Prediction,8.703100204467773,0.08117099851369858,6.880975723266602,8.82178020477295,10.601985931396484,0.5442214608192444,0.3771057426929474,0.6337864398956299,
Per Dev,8.703100204467773,0.08117099851369858,0.016337774693965912,0.005891349632292986,0.009561028331518173,0.0039429753087460995,0.0011301031336188316,0.010487152263522148,
,
Actual,8.703100204467773,0.2777999937534332,6.896599769592285,9.035099983215332,11.432000160217285,0.5579400062561035,0.4275200068950653,0.6626799702644348,
Prediction,8.703100204467773,0.2777999937534332,6.895071029663086,9.036147117614746,11.436147689819336,0.5580786466598511,0.4276887774467468,0.6627786159515381,
Per Dev,8.703100204467773,0.2777999937534332,0.022166574373841286,0.011589626781642437,0.03627999871969223,0.02484862320125103,0.03947664424777031,0.014885871671140194,
,
Actual,8.703100204467773,0.23712000250816345,6.88700008392334,8.918000221252441,11.067999839782715,0.5505099892616272,0.4068000018596649,0.6506500244140625,
Prediction,8.703100204467773,0.23712000250816345,6.88585901260376,8.919679641723633,11.073955535888672,0.550720751285553,0.40702638030052185,0.6508619785308838,
Per Dev,8.703100204467773,0.23712000250816345,0.016568481922149658,0.018831804394721985,0.05381004884839058,0.038284868001937866,0.05564858391880989,0.03257574886083603,
,
Actual,8.703100204467773,0.3352600038051605,6.930300235748291,9.314000129699707,12.131999969482422,0.5744199752807617,0.4627000093460083,0.6833699941635132,
Prediction,8.703100204467773,0.3352600038051605,6.929354190826416,9.31333065032959,12.13154411315918,0.5744085311889648,0.46270543336868286,0.6834031343460083,
Per Dev,8.703100204467773,0.3352600038051605,0.013650850392878056,0.007187881972640753,0.0037574702873826027,0.00199228641577065,0.0011722546769306064,0.00484952237457037,
,
