Learning Rate,0.1,0.01,0.001,
Number of units per hidden layer,2,3,4,
Number of hidden layers,50,70,90,110,
Number of iterations,500,1000,1500,
Regularisation,100,
Loss function,isSum,True,
,isAbsolute,False,
,isPercent,False,
,
,
Learning Rate,Number of hidden layers,Number of units per hidden layer,Number of iterations,e1,e2,e3,e4,e5,e6,
0.1,2.0,50.0,500.0,4.536774635314941,5.5893874168396,5.51277494430542,9.561548233032227,24.998510360717773,7.004791259765625,
0.1,2.0,50.0,1000.0,2.932260274887085,4.3105316162109375,4.926299571990967,5.531383514404297,6.939033508300781,5.540759563446045,
0.1,2.0,50.0,1500.0,1.78490149974823,1.9237000942230225,2.7787835597991943,7.072378158569336,18.940176010131836,3.585209608078003,
0.1,2.0,70.0,500.0,7.166243553161621,6.658592224121094,9.277495384216309,12.013545989990234,25.63013458251953,6.193180561065674,
0.1,2.0,70.0,1000.0,2.387342691421509,3.0331838130950928,4.2219557762146,5.354636192321777,14.530454635620117,5.388759613037109,
0.1,2.0,70.0,1500.0,5.932440757751465,4.812234401702881,5.64666748046875,22.381322860717773,46.49101638793945,6.202194690704346,
0.1,2.0,90.0,500.0,12.240087509155273,12.060341835021973,15.035157203674316,10.029569625854492,24.9776554107666,13.735869407653809,
0.1,2.0,90.0,1000.0,5.165214538574219,6.006953239440918,8.632170677185059,4.2913498878479,4.789509296417236,6.233509063720703,
0.1,2.0,90.0,1500.0,1.9518712759017944,2.017914056777954,2.5232925415039062,1.555271029472351,7.028585433959961,3.075052499771118,
0.1,2.0,110.0,500.0,15.161843299865723,19.010547637939453,21.082815170288086,33.069541931152344,180.44265747070312,28.53154754638672,
0.1,2.0,110.0,1000.0,4.604010581970215,5.201770305633545,3.106814384460449,12.727323532104492,8.789544105529785,5.407668113708496,
0.1,2.0,110.0,1500.0,1.9613981246948242,3.602109432220459,2.3149337768554688,5.264162063598633,9.231039047241211,2.4892189502716064,
0.1,3.0,50.0,500.0,27.19780731201172,11.070473670959473,8.864622116088867,24.805994033813477,59.18248748779297,13.789576530456543,
0.1,3.0,50.0,1000.0,11.000784873962402,5.692264080047607,2.8972792625427246,8.92049789428711,21.02139663696289,4.040874004364014,
0.1,3.0,50.0,1500.0,8.002483367919922,8.685420036315918,8.990379333496094,12.76591682434082,22.464082717895508,5.413022041320801,
0.1,3.0,70.0,500.0,36.69060516357422,29.055463790893555,31.614669799804688,28.96565818786621,65.63043212890625,19.7038631439209,
0.1,3.0,70.0,1000.0,13.877677917480469,15.125946998596191,14.871904373168945,13.545950889587402,142.43418884277344,11.502018928527832,
0.1,3.0,70.0,1500.0,11.814506530761719,8.503586769104004,6.642446041107178,8.865549087524414,77.5233383178711,7.454174041748047,
0.1,3.0,90.0,500.0,25.847009658813477,53.2085075378418,62.52793502807617,43.691043853759766,47.7855224609375,25.90875244140625,
0.1,3.0,90.0,1000.0,12.337543487548828,12.434637069702148,9.879905700683594,13.930484771728516,30.534099578857422,8.126935005187988,
0.1,3.0,90.0,1500.0,12.002466201782227,15.875212669372559,19.162092208862305,46.97231674194336,103.98690795898438,12.920772552490234,
0.1,3.0,110.0,500.0,29.40531349182129,36.49325180053711,43.95779037475586,103.81620788574219,388.33477783203125,90.71773529052734,
0.1,3.0,110.0,1000.0,14.165867805480957,20.51942253112793,29.307819366455078,113.47535705566406,278.9527282714844,37.58430480957031,
