,n,eta,beta1,beta2,beta3,x21,x31,x32,
Actual,2.444200038909912,0.4795199930667877,4.346199989318848,8.604100227355957,13.402999877929688,0.5996699929237366,0.5477499961853027,0.7262899875640869,
Prediction,2.444200038909912,0.4795199930667877,4.346802711486816,8.604065895080566,13.403253555297852,0.5996178388595581,0.5477374792098999,0.7262790203094482,
Per Dev,2.444200038909912,0.4795199930667877,0.013867796398699284,0.0003990222467109561,0.0018926910124719143,0.008697127923369408,0.0022851622197777033,0.0015100379241630435,
,
Actual,2.444200038909912,0.37630000710487366,3.8266000747680664,7.126800060272217,10.866999626159668,0.523930013179779,0.45824000239372253,0.6681900024414062,
Prediction,2.444200038909912,0.37630000710487366,3.82619309425354,7.126810073852539,10.865652084350586,0.5240598917007446,0.4582933783531189,0.6682721972465515,
Per Dev,2.444200038909912,0.37630000710487366,0.010635564103722572,0.00014050598838366568,0.012400311417877674,0.024789288640022278,0.011648035608232021,0.012301112525165081,
,
Actual,2.444200038909912,0.29416000843048096,3.552999973297119,6.275700092315674,9.370599746704102,0.46597999334335327,0.38745999336242676,0.6207500100135803,
Prediction,2.444200038909912,0.29416000843048096,3.5529704093933105,6.275598526000977,9.371064186096191,0.46592944860458374,0.3874499499797821,0.6207406520843506,
Per Dev,2.444200038909912,0.29416000843048096,0.0008320828783325851,0.0016184061532840133,0.004956346470862627,0.010846976190805435,0.0025921082124114037,0.001507519744336605,
,
Actual,2.444200038909912,0.16874000430107117,3.308000087738037,5.362100124359131,7.6631999015808105,0.3862699866294861,0.2820799946784973,0.54680997133255,
Prediction,2.444200038909912,0.16874000430107117,3.308314085006714,5.362708568572998,7.66335916519165,0.3863232135772705,0.2820742130279541,0.5468437671661377,
Per Dev,2.444200038909912,0.16874000430107117,0.009492057375609875,0.01134712528437376,0.0020782912615686655,0.013779726810753345,0.002049649367108941,0.006180544849485159,
,
Actual,2.444200038909912,0.3948099911212921,3.90339994430542,7.353300094604492,11.258999824523926,0.5373200178146362,0.47426000237464905,0.6787400245666504,
Prediction,2.444200038909912,0.3948099911212921,3.9033617973327637,7.353425025939941,11.259354591369629,0.5373397469520569,0.4742377996444702,0.6787304282188416,
Per Dev,2.444200038909912,0.3948099911212921,0.00097727554384619,0.0016989832511171699,0.0031509622931480408,0.0036717664916068316,0.004681552294641733,0.0014138473197817802,
,
Actual,2.444200038909912,0.21493999660015106,3.376699924468994,5.649799823760986,8.224300384521484,0.4137499928474426,0.32019999623298645,0.5741000175476074,
Prediction,2.444200038909912,0.21493999660015106,3.376880168914795,5.649561405181885,8.223763465881348,0.4137609601020813,0.3202182948589325,0.5741540193557739,
Per Dev,2.444200038909912,0.21493999660015106,0.005337887909263372,0.004219947382807732,0.006528441794216633,0.002650696085765958,0.005714748986065388,0.00940634123980999,
,
Actual,2.444200038909912,0.31876999139785767,3.6243999004364014,6.506800174713135,9.781299591064453,0.4830299913883209,0.4085899889469147,0.6350700259208679,
Prediction,2.444200038909912,0.31876999139785767,3.62418794631958,6.5063676834106445,9.78183650970459,0.48306894302368164,0.40861231088638306,0.635080099105835,
Per Dev,2.444200038909912,0.31876999139785767,0.00584797840565443,0.0066467588767409325,0.005489236209541559,0.008064020425081253,0.005463163834065199,0.0015861535212025046,
,
Actual,2.444200038909912,0.4974299967288971,4.4629998207092285,8.92389965057373,13.946999549865723,0.6130300164222717,0.5633000135421753,0.7362099885940552,
Prediction,2.444200038909912,0.4974299967288971,4.462989330291748,8.924095153808594,13.948430061340332,0.6130263805389404,0.5633211731910706,0.7362160682678223,
Per Dev,2.444200038909912,0.4974299967288971,0.0002350530558032915,0.002190782455727458,0.010256768204271793,0.0005931003834120929,0.0037563727237284184,0.000825806986540556,
,
Actual,2.444200038909912,0.4723699986934662,4.30210018157959,8.482500076293945,13.196000099182129,0.5943499803543091,0.5415300130844116,0.722320020198822,
Prediction,2.444200038909912,0.4723699986934662,4.302472114562988,8.481563568115234,13.19511604309082,0.5942994356155396,0.5415456295013428,0.7223687171936035,
Per Dev,2.444200038909912,0.4723699986934662,0.008645381778478622,0.011040473356842995,0.0066994247026741505,0.008504204452037811,0.002883758395910263,0.006741748191416264,
,
Actual,2.444200038909912,0.5035300254821777,4.505000114440918,9.038200378417969,14.142000198364258,0.6175900101661682,0.5686100125312805,0.739579975605011,
Prediction,2.444200038909912,0.5035300254821777,4.504962921142578,9.037912368774414,14.14229965209961,0.6176028251647949,0.5686372518539429,0.7395904660224915,
Per Dev,2.444200038909912,0.5035300254821777,0.0008256003493443131,0.0031865816563367844,0.00211747782304883,0.002075000898912549,0.004790510516613722,0.001418429077602923,
,
Actual,2.444200038909912,0.5259600281715393,4.670000076293945,9.484199523925781,14.89900016784668,0.6344199776649475,0.588100016117096,0.7519199848175049,
Prediction,2.444200038909912,0.5259600281715393,4.670275688171387,9.483789443969727,14.897790908813477,0.6343671083450317,0.5880680680274963,0.7518756985664368,
Per Dev,2.444200038909912,0.5259600281715393,0.005901753436774015,0.004323822446167469,0.008116377517580986,0.008333489298820496,0.00543242460116744,0.005889756139367819,
,
Actual,2.444200038909912,0.4570100009441376,4.212100028991699,8.232600212097168,12.769000053405762,0.5829600095748901,0.5281999707221985,0.7137600183486938,
Prediction,2.444200038909912,0.4570100009441376,4.212306976318359,8.232751846313477,12.769835472106934,0.5829964876174927,0.5281452536582947,0.7137957811355591,
Per Dev,2.444200038909912,0.4570100009441376,0.0049131629057228565,0.00184187525883317,0.006542554125189781,0.006257383152842522,0.010359156876802444,0.0050104777328670025,
,
Actual,2.444200038909912,0.002757699927315116,3.2304000854492188,4.898900032043457,6.513199806213379,0.3366200029850006,0.19109000265598297,0.47824999690055847,
Prediction,2.444200038909912,0.002757699927315116,3.23343825340271,4.901271820068359,6.511934757232666,0.3369598984718323,0.19096902012825012,0.47817498445510864,
Per Dev,2.444200038909912,0.002757699927315116,0.09404927492141724,0.04841470345854759,0.019422847777605057,0.10097304731607437,0.06331180036067963,0.01568477787077427,
,
Actual,2.444200038909912,0.0037245999556034803,3.2304000854492188,4.898900032043457,6.513199806213379,0.3366200029850006,0.19109000265598297,0.47826001048088074,
Prediction,2.444200038909912,0.0037245999556034803,3.2330708503723145,4.900942325592041,6.512179374694824,0.33693408966064453,0.19100087881088257,0.4781987965106964,
Per Dev,2.444200038909912,0.0037245999556034803,0.0826759785413742,0.041688818484544754,0.015667131170630455,0.09330600500106812,0.04663972184062004,0.012799307703971863,
,
Actual,2.444200038909912,0.050808001309633255,3.2327001094818115,4.924600124359131,6.622300148010254,0.3395499885082245,0.2004999965429306,0.4856500029563904,
Prediction,2.444200038909912,0.050808001309633255,3.2311458587646484,4.923158168792725,6.620915412902832,0.3395319879055023,0.20044943690299988,0.48567768931388855,
Per Dev,2.444200038909912,0.050808001309633255,0.048079025000333786,0.029280662536621094,0.02091018483042717,0.005301311612129211,0.025216778740286827,0.005700887180864811,
,
Actual,2.444200038909912,0.147489994764328,3.2843000888824463,5.249199867248535,7.429900169372559,0.37481001019477844,0.2650800049304962,0.5344099998474121,
Prediction,2.444200038909912,0.147489994764328,3.2843079566955566,5.248433589935303,7.4282355308532715,0.37486550211906433,0.26510462164878845,0.534395694732666,
Per Dev,2.444200038909912,0.147489994764328,0.0002395582851022482,0.014597984030842781,0.022404588758945465,0.014805346727371216,0.009286523796617985,0.0026768052484840155,
,
Actual,2.444200038909912,0.014721999876201153,3.2304000854492188,4.899499893188477,6.516600131988525,0.3366900086402893,0.1913899928331375,0.4784899950027466,
Prediction,2.444200038909912,0.014721999876201153,3.229257583618164,4.897897243499756,6.516486167907715,0.33671292662620544,0.19148597121238708,0.47857189178466797,
Per Dev,2.444200038909912,0.014721999876201153,0.035367194563150406,0.0327104777097702,0.0017488272860646248,0.006806850433349609,0.05014806613326073,0.017115673050284386,
,
Actual,2.444200038909912,0.23863999545574188,3.4214000701904297,5.819200038909912,8.541500091552734,0.42882999777793884,0.3401400148868561,0.5881199836730957,
Prediction,2.444200038909912,0.23863999545574188,3.4218292236328125,5.820160865783691,8.54246711730957,0.4289091229438782,0.34006279706954956,0.588087797164917,
Per Dev,2.444200038909912,0.23863999545574188,0.01254321075975895,0.01651132106781006,0.011321498081088066,0.018451405689120293,0.022701773792505264,0.005472779273986816,
,
Actual,2.444200038909912,0.19231000542640686,3.340100049972534,5.5019001960754395,7.940299987792969,0.3999199867248535,0.3013800084590912,0.5607100129127502,
Prediction,2.444200038909912,0.19231000542640686,3.3405120372772217,5.502069473266602,7.941642761230469,0.39988380670547485,0.30139970779418945,0.5607956647872925,
Per Dev,2.444200038909912,0.19231000542640686,0.012334580533206463,0.00307670421898365,0.016910865902900696,0.009046814404428005,0.006536377593874931,0.01527560967952013,
,
Actual,2.444200038909912,0.3040800094604492,3.5808000564575195,6.366499900817871,9.532600402832031,0.4728100001811981,0.3959600031375885,0.6265299916267395,
Prediction,2.444200038909912,0.3040800094604492,3.581333875656128,6.367073059082031,9.534272193908691,0.47286924719810486,0.3960304856300354,0.6266010403633118,
Per Dev,2.444200038909912,0.3040800094604492,0.014907818287611008,0.009002720937132835,0.017537619918584824,0.012530830688774586,0.017800407484173775,0.011340037919580936,
,
