Number of Inputs,2,
Number of Outputs,6,
Number of data points,10515000,
Case,1,
Size of mini-batch,2048,
Number of batches,2,
Number of Training examples,4096,
Number of Validation examples,1000,
Number of iterations,30000,
Layer Normalization,True,
,
Optimizer,<class 'torch.optim.adam.Adam'>,
Activation Function,<class 'torch.nn.modules.activation.PReLU'>,
,
log10initLRInt,[-2, -2],
lrUpdateCoeffInt,[5, 6],
lrUpdatePeriodInt,[5000, 5001],
L1Int,[2, 5],
N1Int,[150, 250],
L2Int,[1, 2],
N2Int,[3, 4],
,
Loss function,isSum,False,
,isAbsolute,False,
,isPercent,True,
,Regularisation,None,
,
,
initLR,lrUpdateCoeff,lrUpdatePeriod,L1,N1,L2,N2,e1,e2,e3,e4,e5,e6,
0.01,5.0,5000.0,2.0,161.0,1.0,3.0,0.08317877352237701,0.10535363107919693,0.13770325481891632,0.06001390889286995,0.09600947052240372,0.06112784147262573,
0.01,5.0,5000.0,2.0,161.0,1.0,3.0,0.09393010288476944,0.11230078339576721,0.12588036060333252,0.0554257370531559,0.08503586798906326,0.07885020971298218,
,
0.01,5.0,5000.0,3.0,173.0,1.0,3.0,0.11835537105798721,0.09844940155744553,0.0815502405166626,0.060413166880607605,0.09052319824695587,0.043808843940496445,
0.01,5.0,5000.0,3.0,173.0,1.0,3.0,0.08653879165649414,0.06517274677753448,0.06304917484521866,0.05396415293216705,0.098963662981987,0.04078158363699913,
,
0.01,5.0,5000.0,2.0,176.0,1.0,3.0,0.08541969954967499,0.1484861522912979,0.19754227995872498,0.06956196576356888,0.1644139140844345,0.08638985455036163,
0.01,5.0,5000.0,2.0,176.0,1.0,3.0,0.11002007871866226,0.09001301974058151,0.10396651923656464,0.06688347458839417,0.11511633545160294,0.06131290644407272,
,
0.01,5.0,5000.0,3.0,214.0,1.0,3.0,0.11918903142213821,0.16414529085159302,0.18858292698860168,0.0686131939291954,0.17901040613651276,0.06804171204566956,
0.01,5.0,5000.0,3.0,214.0,1.0,3.0,0.1529928743839264,0.09803935885429382,0.12594963610172272,0.06855310499668121,0.13783805072307587,0.05823371931910515,
,
0.01,5.0,5000.0,2.0,177.0,1.0,3.0,0.13243210315704346,0.18107348680496216,0.19612538814544678,0.0761810764670372,0.12929075956344604,0.07454189658164978,
0.01,5.0,5000.0,2.0,177.0,1.0,3.0,0.13093937933444977,0.1072235032916069,0.12031696736812592,0.07186488062143326,0.09969278424978256,0.056642789393663406,
,
0.01,5.0,5000.0,4.0,219.0,1.0,3.0,0.09865044802427292,0.08984286338090897,0.10324382781982422,0.07228517532348633,0.0883605033159256,0.08205631375312805,
0.01,5.0,5000.0,4.0,219.0,1.0,3.0,0.12000428140163422,0.12005224078893661,0.1281554251909256,0.06272349506616592,0.09299440681934357,0.08915728330612183,
,
0.01,5.0,5000.0,2.0,191.0,1.0,3.0,0.09348591417074203,0.09576023370027542,0.19431434571743011,0.06230839714407921,0.15095390379428864,0.1963268220424652,
0.01,5.0,5000.0,2.0,191.0,1.0,3.0,0.10178404301404953,0.10545643419027328,0.11193057149648666,0.05733782798051834,0.13745296001434326,0.06790588051080704,
,
0.01,5.0,5000.0,3.0,179.0,1.0,3.0,0.15106463432312012,0.1097870022058487,0.12667147815227509,0.08752186596393585,0.14941872656345367,0.05375375598669052,
0.01,5.0,5000.0,3.0,179.0,1.0,3.0,0.13107138872146606,0.11390265077352524,0.10759874433279037,0.08656127005815506,0.16920186579227448,0.06769301742315292,
,
0.01,5.0,5000.0,3.0,234.0,1.0,3.0,0.18163184821605682,0.12899719178676605,0.11272149533033371,0.09248153865337372,0.13425715267658234,0.07035551220178604,
0.01,5.0,5000.0,3.0,234.0,1.0,3.0,0.19255350530147552,0.11222907155752182,0.13162702322006226,0.1123499721288681,0.15793748199939728,0.07916709035634995,
,
0.01,5.0,5000.0,4.0,228.0,1.0,3.0,0.09188542515039444,0.0713389664888382,0.06210586801171303,0.06317061185836792,0.0773903876543045,0.043964795768260956,
0.01,5.0,5000.0,4.0,228.0,1.0,3.0,0.0977492555975914,0.0711328461766243,0.05716148391366005,0.04794035479426384,0.10446937382221222,0.049468934535980225,
,
0.01,5.0,5000.0,3.0,173.0,1.0,3.0,0.13048964738845825,0.10261217504739761,0.10286729037761688,0.07280492782592773,0.14080633223056793,0.05015919357538223,
0.01,5.0,5000.0,3.0,173.0,1.0,3.0,0.08707023411989212,0.1061079204082489,0.08811789751052856,0.09098982810974121,0.12073425948619843,0.05713807791471481,
,
0.01,5.0,5000.0,3.0,227.0,1.0,3.0,0.08767639845609665,0.08536219596862793,0.10848711431026459,0.05954934284090996,0.11538902670145035,0.0571754164993763,
0.01,5.0,5000.0,3.0,227.0,1.0,3.0,0.1294482946395874,0.16268403828144073,0.21717439591884613,0.07975012063980103,0.13403154909610748,0.0529988557100296,
,
0.01,5.0,5000.0,3.0,207.0,1.0,3.0,0.11916747689247131,0.1378880739212036,0.18644163012504578,0.06663977354764938,0.12351179122924805,0.0458340048789978,
0.01,5.0,5000.0,3.0,207.0,1.0,3.0,0.1218879222869873,0.11411942541599274,0.10784564912319183,0.07050208747386932,0.09818227589130402,0.0438590943813324,
,
0.01,5.0,5000.0,2.0,168.0,1.0,3.0,0.06664581596851349,0.06689776480197906,0.0808790847659111,0.08466915041208267,0.11296764761209488,0.051773734390735626,
0.01,5.0,5000.0,2.0,168.0,1.0,3.0,0.0825238898396492,0.11071337759494781,0.11140934377908707,0.08157850801944733,0.11164124310016632,0.05503282696008682,
,
0.01,5.0,5000.0,2.0,189.0,1.0,3.0,0.07745296508073807,0.1189807876944542,0.14269959926605225,0.05519479140639305,0.10893905162811279,0.06764307618141174,
0.01,5.0,5000.0,2.0,189.0,1.0,3.0,0.09188169240951538,0.07845591008663177,0.09223099052906036,0.05356554687023163,0.10222211480140686,0.051577482372522354,
,

0.01,5.0,5000.0,2.0,168.0,1.0,3.0,0.0825238898396492,e1,
0.01,5.0,5000.0,3.0,173.0,1.0,3.0,0.06517274677753448,e2,
0.01,5.0,5000.0,4.0,228.0,1.0,3.0,0.05716148391366005,e3,
0.01,5.0,5000.0,4.0,228.0,1.0,3.0,0.04794035479426384,e4,
0.01,5.0,5000.0,2.0,161.0,1.0,3.0,0.08503586798906326,e5,
0.01,5.0,5000.0,3.0,173.0,1.0,3.0,0.04078158363699913,e6,

All errors less than 1
0.01,5.0,5000.0,2.0,161.0,1.0,3.0,0.09393010288476944,0.11230078339576721,0.12588036060333252,0.0554257370531559,0.08503586798906326,0.07885020971298218,
0.01,5.0,5000.0,3.0,173.0,1.0,3.0,0.08653879165649414,0.06517274677753448,0.06304917484521866,0.05396415293216705,0.098963662981987,0.04078158363699913,
0.01,5.0,5000.0,2.0,176.0,1.0,3.0,0.11002007871866226,0.09001301974058151,0.10396651923656464,0.06688347458839417,0.11511633545160294,0.06131290644407272,
0.01,5.0,5000.0,3.0,214.0,1.0,3.0,0.1529928743839264,0.09803935885429382,0.12594963610172272,0.06855310499668121,0.13783805072307587,0.05823371931910515,
0.01,5.0,5000.0,2.0,177.0,1.0,3.0,0.13093937933444977,0.1072235032916069,0.12031696736812592,0.07186488062143326,0.09969278424978256,0.056642789393663406,
0.01,5.0,5000.0,4.0,219.0,1.0,3.0,0.12000428140163422,0.12005224078893661,0.1281554251909256,0.06272349506616592,0.09299440681934357,0.08915728330612183,
0.01,5.0,5000.0,2.0,191.0,1.0,3.0,0.10178404301404953,0.10545643419027328,0.11193057149648666,0.05733782798051834,0.13745296001434326,0.06790588051080704,
