Number of Inputs,2,
Number of Outputs,6,
Number of data points,4515000,
Case,1,
Size of mini-batch,2048,
Number of batches,2,
Number of Training examples,4096,
Number of Validation examples,1000,
Number of iterations,30000,
Layer Normalization,True,
,
Optimizer,<class 'torch.optim.adam.Adam'>,
Activation Function,<class 'torch.nn.modules.activation.PReLU'>,
,
log10initLRInt,[-2, -2],
lrUpdateCoeffInt,[5, 6],
lrUpdatePeriodInt,[5000, 5001],
L1Int,[5, 10],
N1Int,[150, 250],
L2Int,[1, 2],
N2Int,[3, 4],
,
Loss function,isSum,False,
,isAbsolute,False,
,isPercent,True,
,Regularisation,None,
,
,
initLR,lrUpdateCoeff,lrUpdatePeriod,L1,N1,L2,N2,e1,e2,e3,e4,e5,e6,
0.01,5.0,5000.0,7.0,173.0,1.0,3.0,0.12577755749225616,0.09001384675502777,0.08368803560733795,0.09396599233150482,0.15391336381435394,0.05959971994161606,
0.01,5.0,5000.0,7.0,173.0,1.0,3.0,0.1681746393442154,0.18402621150016785,0.24162623286247253,0.23001469671726227,0.5052031874656677,0.18934959173202515,
,
0.01,5.0,5000.0,7.0,249.0,1.0,3.0,0.17182041704654694,0.14386752247810364,0.16547852754592896,0.0883914977312088,0.1443711817264557,0.06299014389514923,
0.01,5.0,5000.0,7.0,249.0,1.0,3.0,0.14349700510501862,0.21402496099472046,0.22390013933181763,0.22060543298721313,0.576324462890625,0.1684454083442688,
,
0.01,5.0,5000.0,5.0,249.0,1.0,3.0,0.15398408472537994,0.1564299464225769,0.16932260990142822,0.1284540593624115,0.17576995491981506,0.06598208099603653,
0.01,5.0,5000.0,5.0,249.0,1.0,3.0,0.1842249482870102,0.18098245561122894,0.18699786067008972,0.13627471029758453,0.1725737303495407,0.07160081714391708,
,
0.01,5.0,5000.0,6.0,241.0,1.0,3.0,0.10726168751716614,0.08284343779087067,0.07655039429664612,0.07256393879652023,0.1263275444507599,0.048155736178159714,
0.01,5.0,5000.0,6.0,241.0,1.0,3.0,0.2208365648984909,0.17398859560489655,0.14946787059307098,0.24419434368610382,0.5588570237159729,0.11565534770488739,
,
