,n,eta,beta1,beta2,beta3,x21,x31,x32,
Prediction,2.444200038909912,0.0037245999556034803,3.560337543487549,5.300116062164307,6.990899085998535,0.3644539415836334,0.21786759793758392,0.5018420219421387,
Per Dev,2.444200038909912,0.0037245999556034803,10.213516235351562,8.189921379089355,7.334325313568115,8.26865291595459,14.013080596923828,4.930793285369873,
,
Actual,2.444200038909912,0.050808001309633255,3.2327001094818115,4.924600124359131,6.622300148010254,0.3395499885082245,0.2004999965429306,0.4856500029563904,
Prediction,2.444200038909912,0.050808001309633255,3.4731292724609375,5.205758571624756,6.959014892578125,0.3613983392715454,0.22101759910583496,0.5038279294967651,
Per Dev,2.444200038909912,0.050808001309633255,7.437410354614258,5.709264278411865,5.084558963775635,6.434501647949219,10.2332181930542,3.743009567260742,
,
Actual,2.444200038909912,0.147489994764328,3.2843000888824463,5.249199867248535,7.429900169372559,0.37481001019477844,0.2650800049304962,0.5344099998474121,
Prediction,2.444200038909912,0.147489994764328,3.3901968002319336,5.361300945281982,7.536661624908447,0.3820823132991791,0.2699202001094818,0.5391166806221008,
Per Dev,2.444200038909912,0.147489994764328,3.2243311405181885,2.1355841159820557,1.436916470527649,1.9402637481689453,1.8259373903274536,0.8807246685028076,
,
Actual,2.444200038909912,0.014721999876201153,3.2304000854492188,4.899499893188477,6.516600131988525,0.3366900086402893,0.1913899928331375,0.4784899950027466,
Prediction,2.444200038909912,0.014721999876201153,3.5388453006744385,5.274966716766357,6.977522373199463,0.3635331988334656,0.21809491515159607,0.5019283294677734,
Per Dev,2.444200038909912,0.014721999876201153,9.548205375671387,7.663370609283447,7.073047637939453,7.972671985626221,13.953145027160645,4.898395538330078,
,
Actual,2.444200038909912,0.23863999545574188,3.4214000701904297,5.819200038909912,8.541500091552734,0.42882999777793884,0.3401400148868561,0.5881199836730957,
Prediction,2.444200038909912,0.23863999545574188,3.484395980834961,5.885856628417969,8.620933532714844,0.43126291036605835,0.34282562136650085,0.5903220176696777,
Per Dev,2.444200038909912,0.23863999545574188,1.8412319421768188,1.1454596519470215,0.9299705624580383,0.5673373341560364,0.7895590662956238,0.3744191825389862,
,
Actual,2.444200038909912,0.19231000542640686,3.340100049972534,5.5019001960754395,7.940299987792969,0.3999199867248535,0.3013800084590912,0.5607100129127502,
Prediction,2.444200038909912,0.19231000542640686,3.4048831462860107,5.549248218536377,7.983577251434326,0.4018671214580536,0.3034384548664093,0.5627338886260986,
Per Dev,2.444200038909912,0.19231000542640686,1.9395556449890137,0.860575795173645,0.5450330972671509,0.4868810474872589,0.6830069422721863,0.36094874143600464,
,
Actual,2.444200038909912,0.3040800094604492,3.5808000564575195,6.366499900817871,9.532600402832031,0.4728100001811981,0.3959600031375885,0.6265299916267395,
Prediction,2.444200038909912,0.3040800094604492,3.6184096336364746,6.409875869750977,9.581523895263672,0.4737664759159088,0.39645862579345703,0.6270202398300171,
Per Dev,2.444200038909912,0.3040800094604492,1.0503121614456177,0.6813157796859741,0.5132229328155518,0.20229600369930267,0.12592753767967224,0.07824816554784775,
,
Actual,2.444200038909912,0.5188000202178955,4.615499973297119,9.337300300598145,14.649999618530273,0.629040002822876,0.5818799734115601,0.7479900121688843,
Prediction,2.444200038909912,0.5188000202178955,4.63145637512207,9.334623336791992,14.62692642211914,0.6278873682022095,0.5810270309448242,0.7472794055938721,
Per Dev,2.444200038909912,0.5188000202178955,0.34571337699890137,0.0286695696413517,0.15749622881412506,0.18323710560798645,0.1465839147567749,0.09500215202569962,
,
Actual,2.444200038909912,0.1685599982738495,3.307800054550171,5.361100196838379,7.661200046539307,0.38616999983787537,0.2819400131702423,0.5467100143432617,
Prediction,2.444200038909912,0.1685599982738495,3.3927505016326904,5.441364288330078,7.7405829429626465,0.3908105492591858,0.28572341799736023,0.5502658486366272,
Per Dev,2.444200038909912,0.1685599982738495,2.568185806274414,1.497157096862793,1.036167860031128,1.2016856670379639,1.3419183492660522,0.6504059433937073,
,
Actual,2.444200038909912,0.19065000116825104,3.337599992752075,5.491499900817871,7.920100212097168,0.39893001317977905,0.30000001192092896,0.5597299933433533,
Prediction,2.444200038909912,0.19065000116825104,3.403454542160034,5.540581226348877,7.964638710021973,0.40100300312042236,0.3021106421947479,0.5618047714233398,
Per Dev,2.444200038909912,0.19065000116825104,1.9731110334396362,0.8937690258026123,0.5623476505279541,0.5196374654769897,0.7035433650016785,0.37067481875419617,
,
Actual,2.444200038909912,0.48159000277519226,4.359300136566162,8.639900207519531,13.46399974822998,0.6012099981307983,0.5495399832725525,0.7274399995803833,
Prediction,2.444200038909912,0.48159000277519226,4.377113342285156,8.635122299194336,13.433040618896484,0.6002799272537231,0.5483598113059998,0.7267539501190186,
Per Dev,2.444200038909912,0.48159000277519226,0.40862536430358887,0.055300503969192505,0.22994005680084229,0.15469983220100403,0.21475635468959808,0.09431010484695435,
,
Actual,2.444200038909912,0.19199000298976898,3.339600086212158,5.499800205230713,7.936299800872803,0.39972999691963196,0.3010999858379364,0.5605199933052063,
Prediction,2.444200038909912,0.19199000298976898,3.4045820236206055,5.547508239746094,7.979761123657227,0.40169596672058105,0.3031739592552185,0.5625494718551636,
Per Dev,2.444200038909912,0.19199000298976898,1.9457999467849731,0.8674503564834595,0.5476270318031311,0.4918244183063507,0.6887989044189453,0.3620706796646118,
,
Actual,2.444200038909912,0.07907100021839142,3.239300012588501,4.9822998046875,6.8018999099731445,0.34606999158859253,0.21565000712871552,0.4973599910736084,
Prediction,2.444200038909912,0.07907100021839142,3.4308199882507324,5.205837249755859,7.0591630935668945,0.3635178804397583,0.23099564015865326,0.5106969475746155,
Per Dev,2.444200038909912,0.07907100021839142,5.912387847900391,4.486631393432617,3.7822253704071045,5.041722774505615,7.115989685058594,2.6815500259399414,
,
Actual,2.444200038909912,0.2853499948978424,3.5295000076293945,6.197400093078613,9.230299949645996,0.4599500000476837,0.3799099922180176,0.61558997631073,
Prediction,2.444200038909912,0.2853499948978424,3.5725793838500977,6.247419357299805,9.290931701660156,0.46109360456466675,0.3810409903526306,0.6165876388549805,
Per Dev,2.444200038909912,0.2853499948978424,1.2205517292022705,0.8071008324623108,0.656877338886261,0.24863670766353607,0.2977015972137451,0.16206607222557068,
,
Actual,2.444200038909912,0.4800100028514862,4.349299907684326,8.612600326538086,13.418000221252441,0.6000400185585022,0.5481799840927124,0.7265700101852417,
Prediction,2.444200038909912,0.4800100028514862,4.367281913757324,8.609047889709473,13.388853073120117,0.5991500616073608,0.5470148324966431,0.7258734703063965,
Per Dev,2.444200038909912,0.4800100028514862,0.41344597935676575,0.04124697297811508,0.21722424030303955,0.14831626415252686,0.212549090385437,0.0958668664097786,
,
Actual,2.444200038909912,0.21645000576972961,3.379300117492676,5.660200119018555,8.243900299072266,0.4146899878978729,0.3214600086212158,0.5749899744987488,
Prediction,2.444200038909912,0.21645000576972961,3.4439480304718018,5.71170711517334,8.298725128173828,0.41644468903541565,0.32377785444259644,0.5770165920257568,
Per Dev,2.444200038909912,0.21645000576972961,1.9130563735961914,0.9099854230880737,0.6650351285934448,0.4231356680393219,0.7210370898246765,0.3524613678455353,
,
Actual,2.444200038909912,0.3901999890804291,3.883699893951416,7.295400142669678,11.159000396728516,0.5339699983596802,0.47025999426841736,0.676110029220581,
Prediction,2.444200038909912,0.3901999890804291,3.9067864418029785,7.314951419830322,11.18557357788086,0.5335483551025391,0.4702625870704651,0.6757677793502808,
Per Dev,2.444200038909912,0.3901999890804291,0.5944472551345825,0.26799458265304565,0.2381322681903839,0.07896384596824646,0.0005513550131581724,0.050620436668395996,
,
Actual,2.444200038909912,0.3523699939250946,3.7360999584198,6.854300022125244,10.392000198364258,0.5067700147628784,0.43755999207496643,0.65447998046875,
Prediction,2.444200038909912,0.3523699939250946,3.76930570602417,6.893546104431152,10.441137313842773,0.5072869062423706,0.43791407346725464,0.6542596817016602,
Per Dev,2.444200038909912,0.3523699939250946,0.8887810707092285,0.572576105594635,0.4728359580039978,0.1019972488284111,0.08092179149389267,0.03366012126207352,
,
Actual,2.444200038909912,0.25332000851631165,3.452399969100952,5.931600093841553,8.74839973449707,0.4384399950504303,0.3525800108909607,0.596780002117157,
Prediction,2.444200038909912,0.25332000851631165,3.5109081268310547,5.99956750869751,8.833887100219727,0.4407714605331421,0.35524165630340576,0.5988789796829224,
Per Dev,2.444200038909912,0.25332000851631165,1.6947097778320312,1.1458529233932495,0.9771771430969238,0.5317638516426086,0.7549053430557251,0.35171714425086975,
,
Actual,2.444200038909912,0.26627999544143677,3.4820001125335693,6.035699844360352,8.938300132751465,0.447050005197525,0.36360999941825867,0.6044099926948547,
Prediction,2.444200038909912,0.26627999544143677,3.53497576713562,6.100671768188477,9.021483421325684,0.4490775167942047,0.3658953011035919,0.60622239112854,
Per Dev,2.444200038909912,0.26627999544143677,1.5214145183563232,1.0764604806900024,0.9306387901306152,0.45353126525878906,0.6285035610198975,0.29986241459846497,
,
Actual,2.444200038909912,0.5319399833679199,4.7170000076293945,9.610199928283691,15.112000465393066,0.6389099955558777,0.5932899713516235,0.7551900148391724,
Prediction,2.444200038909912,0.5319399833679199,4.7328996658325195,9.606976509094238,15.085714340209961,0.6377699375152588,0.5925500988960266,0.7547410130500793,
Per Dev,2.444200038909912,0.5319399833679199,0.33707141876220703,0.03354164585471153,0.17394205927848816,0.1784379780292511,0.12470672279596329,0.059455469250679016,
,
Actual,2.444200038909912,0.04859200119972229,3.2323999404907227,4.921599864959717,6.611299991607666,0.33921000361442566,0.1995600014925003,0.4849100112915039,
Prediction,2.444200038909912,0.04859200119972229,3.4764063358306885,5.207610130310059,6.954586029052734,0.36139315366744995,0.2204325646162033,0.5034397840499878,
Per Dev,2.444200038909912,0.04859200119972229,7.548768997192383,5.81132698059082,5.192413330078125,6.539650917053223,10.459291458129883,3.8212804794311523,
,
Actual,2.444200038909912,0.15814000368118286,3.295599937438965,5.304200172424316,7.544899940490723,0.3804500102996826,0.27355000376701355,0.5406100153923035,
Prediction,2.444200038909912,0.15814000368118286,3.390526533126831,5.400107383728027,7.637613296508789,0.38639146089553833,0.27778396010398865,0.5447068810462952,
Per Dev,2.444200038909912,0.15814000368118286,2.880404233932495,1.808137059211731,1.2288215160369873,1.5616902112960815,1.5477814674377441,0.7578227519989014,
,
Actual,2.444200038909912,0.2514300048351288,3.4482998847961426,5.916800022125244,8.721400260925293,0.4371899962425232,0.3509800136089325,0.5956599712371826,
Prediction,2.444200038909912,0.2514300048351288,3.5076563358306885,5.985255718231201,8.806999206542969,0.4395679235458374,0.3536718785762787,0.597802996635437,
Per Dev,2.444200038909912,0.2514300048351288,1.721325159072876,1.1569715738296509,0.981481671333313,0.5439116358757019,0.7669567465782166,0.35977327823638916,
,
Actual,2.444200038909912,0.32986000180244446,3.65939998626709,6.617300033569336,9.976300239562988,0.4908199906349182,0.4181399941444397,0.6414999961853027,
Prediction,2.444200038909912,0.32986000180244446,3.6987838745117188,6.6664958000183105,10.038019180297852,0.4920319616794586,0.41888511180877686,0.6418359279632568,
Per Dev,2.444200038909912,0.32986000180244446,1.076238989830017,0.743441641330719,0.6186556220054626,0.24692781269550323,0.17819812893867493,0.052366603165864944,
,
Actual,2.444200038909912,0.4917199909687042,4.424799919128418,8.819499969482422,13.770000457763672,0.6087700128555298,0.5583500266075134,0.7330499887466431,
Prediction,2.444200038909912,0.4917199909687042,4.442707061767578,8.810615539550781,13.730463027954102,0.607689380645752,0.5571163296699524,0.7323964238166809,
Per Dev,2.444200038909912,0.4917199909687042,0.4046994745731354,0.10073620080947876,0.287127286195755,0.17751075327396393,0.2209540456533432,0.08915693312883377,
,
Actual,2.444200038909912,0.2637600004673004,3.476099967956543,6.015100002288818,8.900799751281738,0.44536998867988586,0.3614700138568878,0.6029199957847595,
Prediction,2.444200038909912,0.2637600004673004,3.5302700996398926,6.081045150756836,8.985068321228027,0.44746217131614685,0.36382773518562317,0.6048024892807007,
Per Dev,2.444200038909912,0.2637600004673004,1.5583593845367432,1.0963267087936401,0.9467528462409973,0.4697628319263458,0.6522591710090637,0.3122293949127197,
,
Actual,2.444200038909912,0.24607999622821808,3.436800003051758,5.875400066375732,8.645299911499023,0.43367999792099,0.34643998742103577,0.5925099849700928,
Prediction,2.444200038909912,0.24607999622821808,3.498195171356201,5.944167613983154,8.729884147644043,0.4361213445663452,0.3491686284542084,0.5947093367576599,
Per Dev,2.444200038909912,0.24607999622821808,1.786405086517334,1.1704317331314087,0.9783840775489807,0.562937319278717,0.7876230478286743,0.3711923360824585,
,
Actual,2.444200038909912,0.41837000846862793,4.0106000900268555,7.663400173187256,11.793000221252441,0.5544999837875366,0.4946799874305725,0.6920700073242188,
Prediction,2.444200038909912,0.41837000846862793,4.034276008605957,7.680645942687988,11.810585021972656,0.5537977814674377,0.4944956600666046,0.6918375492095947,
Per Dev,2.444200038909912,0.41837000846862793,0.5903335809707642,0.2250407189130783,0.14911217987537384,0.1266370266675949,0.03726194053888321,0.03358881548047066,
,
Actual,2.444200038909912,0.26309001445770264,3.474600076675415,6.009699821472168,8.890999794006348,0.44492998719215393,0.36090001463890076,0.6025300025939941,
Prediction,2.444200038909912,0.26309001445770264,3.5290088653564453,6.075809001922607,8.975360870361328,0.44703197479248047,0.36327695846557617,0.6044236421585083,
Per Dev,2.444200038909912,0.26309001445770264,1.5659008026123047,1.100041389465332,0.9488367438316345,0.4724310636520386,0.6586155891418457,0.3142813742160797,
,
Actual,2.444200038909912,0.482340008020401,4.363999843597412,8.652999877929688,13.486000061035156,0.6017699837684631,0.5501999855041504,0.7278599739074707,
Prediction,2.444200038909912,0.482340008020401,4.381761074066162,8.647455215454102,13.45394515991211,0.6008141040802002,0.5489951968193054,0.7271690368652344,
Per Dev,2.444200038909912,0.482340008020401,0.4069942831993103,0.06407792121171951,0.23769021034240723,0.1588446944952011,0.21897286176681519,0.09492719173431396,
,
Actual,2.444200038909912,0.2623099982738495,3.4727001190185547,6.003300189971924,8.879500389099121,0.44440001249313354,0.36024001240730286,0.6020699739456177,
Prediction,2.444200038909912,0.2623099982738495,3.527535915374756,6.069705009460449,8.964048385620117,0.44653084874153137,0.36263522505760193,0.6039819121360779,
Per Dev,2.444200038909912,0.2623099982738495,1.579053521156311,1.1061385869979858,0.9521706104278564,0.4794860780239105,0.6648935675621033,0.3175607919692993,
,
Actual,2.444200038909912,0.27994000911712646,3.5155999660491943,6.1504998207092285,9.145899772644043,0.4562700092792511,0.3752799928188324,0.6124299764633179,
Prediction,2.444200038909912,0.27994000911712646,3.5596656799316406,6.203145980834961,9.21200942993164,0.4574945271015167,0.3766663074493408,0.6135756373405457,
